,[]
0,16.63482007018709
1,16.602704669936088
2,16.595102741785922
3,16.628651283386034
4,-982.4846716945665
5,-22.692098200110053
6,-30.192086446820866
7,-149.73946308589893
8,-5.068987290741205
9,1.0360634016870307
10,-982.4846788891027
11,16.63482007018709
12,16.602704669936088
13,16.595102641444583
14,16.628651283386034
15,-189.12516093630524
16,-187.89439080663124
17,-16.509597045103078
18,3168.784881650785
19,-0.08254001934693633
20,1024.0932906466787
21,-325.58167021163257
22,-327.1929455764832
23,193.66674052157293
24,193.6667448451543
25,553.6713845006329
