,[]
0,233.66758966666666
1,233.68680133333342
2,233.61789799999997
3,233.69534466666676
4,617.2273729999997
5,87.47517366666666
6,94.59142233333336
7,198.87054366666658
8,93.36505633333331
9,100.32326566666659
10,617.2273696666668
11,233.66758966666666
12,233.68680133333342
13,233.617898
14,233.69534466666676
15,516.1532256666666
16,516.4394953333332
17,379.14994133333335
18,1916.6403963333316
19,277.08353666666676
20,1547.6237629999996
21,605.7005830000002
22,606.3674010000001
23,513.0971953333332
24,513.0971909999998
25,-12.022141666666812
