,[]
0,0.43892847767724336
1,0.4390148038790353
2,0.4391125157362988
3,0.4391146532701681
4,0.007727329616801133
5,0.3021417842045008
6,0.0032412983403415636
7,0.001643821048756192
8,0.7361180978254935
9,0.5710677030944159
10,0.007727329616801133
11,0.43892847767724336
12,0.4390148038790353
13,0.4391125157362988
14,0.4391146532701681
15,0.0001862378706322664
16,6.390625917313149e-05
17,0.09408887839214623
18,0.0004274789281981857
19,0.9999999999999996
20,0.12607567478267412
21,6.219788793191425e-05
22,0.0001244075412409812
23,0.5463379372425713
24,0.5463379372425713
25,0.7669823583492436
