,[]
0,0.21846572314381188
1,0.22725225129536378
2,0.2246255643021853
3,0.22594689069617957
4,0.010761390346553573
5,0.24104061593018553
6,0.058238790696265065
7,0.0009219830327348252
8,0.4573191682027199
9,0.5807492030580218
10,0.010761390085877707
11,0.21846572314381188
12,0.22725225129536378
13,0.22462561132440384
14,0.22594689069617957
15,0.09928030629345772
16,0.1070422609685419
17,0.0972345111842774
18,0.025657832999226683
19,0.3829771888304983
20,0.7313695083653918
21,0.26022114152716114
22,0.24040775544578757
23,0.9550899336192449
24,0.9550898460213144
25,0.8838445736683829
