,"['Ag0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Cr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mn0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Re0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Tc0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'V0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Cr0+', 'Cr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Fe0+', 'Fe0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mn0+', 'Mn0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Re0+', 'Re0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Tc0+', 'Tc0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'U0+', 'U0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'V0+', 'V0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Ca0+', 'Ca0+', 'Cr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Ca0+', 'Ca0+', 'Ni0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Ca0+', 'Cr0+', 'Cr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Cr0+', 'Cr0+', 'Cr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Fe0+', 'Fe0+', 'Th0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Fe0+', 'Fe0+', 'U0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Fe0+', 'Fe0+', 'Y0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Fe0+', 'Fe0+', 'Yb0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mo0+', 'Mo0+', 'Mo0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Ca0+', 'Ca0+', 'Cr0+', 'Cr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Co0+', 'Co0+', 'Co0+', 'Co0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Er0+', 'Ni0+', 'Ni0+', 'Ni0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Ir0+', 'Ir0+', 'Ir0+', 'Ir0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mn0+', 'Mn0+', 'Mn0+', 'Mn0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mo0+', 'Mo0+', 'Mo0+', 'Mo0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Os0+', 'Os0+', 'Os0+', 'Os0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Ru0+', 'Ru0+', 'Ru0+', 'Ru0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Th0+', 'Th0+', 'Th0+', 'Th0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'U0+', 'U0+', 'U0+', 'U0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Co0+', 'Co0+', 'Co0+', 'Co0+', 'Cu0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Cr0+', 'Cr0+', 'Cr0+', 'Cr0+', 'Cr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Sr0+', 'Sr0+', 'Sr0+', 'Sr0+', 'Sr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Co0+', 'Co0+', 'Co0+', 'Nd0+', 'Nd0+', 'Nd0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Co0+', 'Co0+', 'Co0+', 'Y0+', 'Y0+', 'Y0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Co0+', 'Co0+', 'Gd0+', 'Gd0+', 'Ge0+', 'Ge0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Ge0+', 'Ge0+', 'Ni0+', 'Ni0+', 'Tb0+', 'Tb0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Er0+', 'Er0+', 'Er0+', 'Mo0+', 'Mo0+', 'Mo0+', 'Mo0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Fe0+', 'Fe0+', 'Fe0+', 'Si0+', 'Si0+', 'Si0+', 'Si0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mo0+', 'Mo0+', 'Mo0+', 'Mo0+', 'Yb0+', 'Yb0+', 'Yb0+']","['Al0+', 'Al0+', 'Al0+', 'Fe0+', 'Fe0+', 'Fe0+', 'Fe0+', 'Si0+', 'Si0+', 'Si0+', 'Si0+']","['Al0+', 'Al0+', 'Al0+', 'Li0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+']","['Al0+', 'Al0+', 'Al0+', 'Lu0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+']","['Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+']","['Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Na0+']","['Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Nd0+']","['Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Rb0+']","['Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Sm0+']","['Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Th0+']","['Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Tm0+']","['Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Y0+']","['Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Yb0+']","['Al0+', 'Al0+', 'Ge0+', 'Ge0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+']","['Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+']","['Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Pd0+']","['Al0+', 'B0+', 'B0+', 'Ru0+', 'Ru0+', 'Ru0+', 'Ru0+', 'Ru0+', 'Ru0+', 'Ru0+', 'Ru0+']","['Ce0+', 'Ce0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+']","['Cu0+', 'Cu0+', 'Cu0+', 'Cu0+', 'Cu0+', 'Cu0+', 'Cu0+', 'Cu0+', 'Cu0+', 'Cu0+', 'Cu0+']","['La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+']","['La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'Ni0+', 'Ni0+']","['Li0+', 'Li0+', 'Li0+', 'Li0+', 'Li0+', 'Pt0+', 'Pt0+', 'Pt0+', 'Pt0+', 'Pt0+', 'Pt0+']","['Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+']"
0,-0.9724166976948977,4.000622692430597,11.298219693372152,13.07209616099204,12.33102351005216,-4.975780449943247,1.3910834725726018,-7.449652492128365,10.56140214443166,-13.106442124063307,-12.31491290686556,5.951616424106095,3.093458743361239,-7.007572689070026,-4.102917943979222,14.254642646989316,-10.842640602136125,-9.547485867083491,-9.811861431052957,-10.062011368280691,-11.130338159935423,10.252806729696893,-14.754014152281542,2.0266484627498595,-0.8265200747780319,6.173929948189566,-14.247655539994126,-7.1743640868523375,5.596373105368053,-7.545402252622163,7.938181328033052,-9.195228737010503,5.696113174975514,13.229807909471907,-4.206712178439657,-5.942395636086744,-6.009514948289427,-13.552031097451462,-11.909171457513665,2.2052088179352785,10.35463463268181,12.661988571090507,10.871831171701647,-3.73734815261327,-0.9152111430952232,3.123367950939469,1.8875097163209207,-0.9945407544748244,2.83870360527363,-1.8117853755050777,3.7393746924685787,3.6204656319465327,3.2893601091053255,2.6639357634243797,2.9958920100177626,5.327563713411474,-1.0962155675521519,3.15974193516284,2.030468564694484,-5.9360707261596035,7.49387550247359,-3.120854085927512,-5.265057352615114,-3.604585826269645,-3.301250786589712
1,-1.3636830584657014,4.004078841889933,11.301488397811523,13.074780649282799,12.331434530952981,-4.9752741350877425,1.392058908864634,-7.449286781911455,10.559601640154025,-13.106784734800982,-12.315017465843491,6.116478683825024,3.09430321635402,-7.032995868893909,-4.084178137213558,14.243252613467892,-10.837927092587858,-9.539905915512415,-9.812141978051386,-10.035542965990352,-11.114870632954492,10.165529009676279,-14.767760604847307,5.39500313482049,-0.821725298212323,6.17357543021422,-9.815578922807418,-7.258764282588467,5.596729035338598,-7.545047762805156,7.938180290574146,,5.723754204251316,13.227145289621744,-4.206222052596486,-5.938376013133549,-6.011107063433854,-13.54317202915664,-11.90935557727384,2.2047700155677217,10.354812013398645,12.66043134476765,10.872218938360755,-3.73837099044966,-1.4117040902334475,3.127010845886747,1.8112322498288653,-2.2031733567155283,2.8244202843630632,-1.8285726620934857,3.741020153770127,3.635838904300516,3.2862340733712814,2.6658118421179235,2.9915480329938666,5.32749147686012,-1.0955337270512295,1.9485932725101032,2.0304793335573215,,7.490719649255109,-3.13679666339149,-5.261264176839886,-3.6048786144968834,-3.3023142178009652
2,-1.3562503609174792,6.43329125430602,11.299206933138908,13.074158859480669,12.331642347415512,-4.95797452573994,,-7.448188158027949,10.55343235331529,-13.108046658152457,-12.315259664682225,6.033488579440067,,-7.014294215010214,-4.096005016869312,14.249344530256653,-10.856892840863088,-9.545533393162064,-9.799408905956907,-10.061912130231082,-11.114895492584388,-7.2839002393887995,-14.749427999940194,5.395030547152594,0.044192582311872036,6.174284384699853,-9.813486264884379,-7.292534239363789,,6.666212400288071,7.937472140970319,,,13.230414666031,-4.207330940952375,-5.943316389981602,-6.014532229269766,-13.550610408866323,-11.909523677536393,2.2065915759721264,10.353925560602994,12.662677238986943,10.872329967389586,-3.737921637272644,-1.5320886547544952,3.1175004855340265,1.8904189953954866,-1.4364362953723329,2.8318476360804783,-1.8089236289039143,3.7366983738976174,3.6202158551660624,3.2877413670055264,2.662890713999037,3.043839898937485,5.3141877755723765,2.3858326489301045,1.9140815107804594,2.0290312007750746,,7.520612880567243,,-5.266986844169245,,-3.301250786589712
3,,6.451168274269616,11.301289699005068,13.073255145798452,12.331483474450968,-6.750637800812816,,-7.4490486664589755,10.551479711101388,-13.108453094116928,-12.314463323062926,6.114316764408906,,-7.028433931005627,-4.104923785879743,14.02157391345392,,-9.541303498481147,-9.816664175281659,-10.035431737003194,-11.129990603585819,-7.323938310550574,-14.754557261098805,5.609800653632836,0.0391629162898226,6.173575430214738,-9.423596392497698,-7.203804142980766,,6.66574313827596,7.937118104397551,,,13.233877219249061,-4.20722811123145,-5.93926353674607,-6.003974405581397,-13.540691384467214,-11.9093876123335,2.2049990803471187,10.351976001329309,12.66327931150246,10.871830867813737,-3.7373721789109577,-1.537814686878568,3.104379322536707,-1.3189651388987946,-1.3573400871946024,2.782804408727639,-1.8229906938014186,3.712768069368594,3.614959388366734,3.2651912600323127,2.6596982178975486,2.9662945189213668,5.315223734649478,-1.087291426890729,,2.029391330276674,,7.525652847418307,,-5.259128504697917,,-3.3023142178009652
4,,-4.668020455879812,,-5.383793034709462,-5.24317467924863,-6.829937309345987,,,20.10456342605926,,,6.01373544287506,,-7.025039192123756,-4.063140752019682,14.024185615986658,,,,,,-7.326987549255145,-14.747590872063743,5.610196703696954,,,-9.421968035636965,,,,,,,13.224436934176621,-4.207030378609856,-5.94742905237546,-6.010757147905271,,,2.205552369331585,,12.661988571090507,,-3.73734815261327,-1.3988566542350631,3.101110419209206,-1.0415322341337634,-2.231110461195387,2.7831416425277102,-1.8226730962145323,3.7102434592074856,3.6138799900431597,3.2643123342970384,2.662503979588939,2.973683016643041,,-1.0868667170256125,,,,7.522337033474906,,,,
5,,-4.773112463154293,,-5.442539063688181,-5.264056659101254,7.480302211509101,,,20.085256436263702,,,5.943404563204312,,-7.004005231208859,-4.10275273077946,14.03165857400384,,,,,,-7.281706559300715,-14.767729670297731,,,,-14.24595704538287,,,,,,,13.229022040676238,-4.206981811550371,-5.94865902286772,-6.010879545215154,,,2.2061102539236574,,12.66043134476765,,-3.73837099044966,-0.9152111430952232,3.1007861055161827,-1.16973633907587,,2.8327420823573712,-1.828647738397381,3.7202582528481445,3.636845474687273,3.260993219196631,2.663345356620852,3.034133892916237,,-2.3976852257773356,,,,7.526555814813196,,,,
6,,-4.665853755026629,,-5.532358461137473,-5.312039595835231,2.3536555679252786,,,20.083798360102147,,,5.967187313504572,,-6.846857243759788,-4.062722508034129,,,,,,,-6.961301519179581,,,,,,,,,,,,,,-5.944981707363076,-6.015860481401478,,,,,12.662677238986943,,-3.737921637272644,-1.4117040902334475,3.1043430458603805,1.833764137454178,,2.83870360527363,,3.718906020148972,,3.269405782144447,2.6639357634243797,3.0223290504654305,,,,,,7.522308575182705,,,,
7,,-4.771743713143683,,-5.419343856816458,-5.251624959496118,7.480229298673439,,,20.10616181956622,,,5.923408445050555,,-6.830499260598106,-4.095027381638388,,,,,,,-6.955992736646767,,,,,,,,,,,,,,-5.944054125654646,-6.0052713694733395,,,,,12.66327931150246,,-3.7373721789109577,-1.5320886547544952,3.1054785318401685,1.836527672326956,,2.8244202843630632,,3.7125110070420635,,3.2697299946316445,2.6658118421179235,2.9805899965853744,,,,,,7.5639869841122875,,,,
8,,-7.291082177188671,,-5.492464026713295,-5.322587629006632,-4.958142660610366,,,12.841463967794581,,,,,-6.850413535897214,-4.1044237840095175,,,,,,,-6.946510524826222,,,,,,,,,,,,,,,,,,,,,,,-1.537814686878568,3.1108028921233633,-1.1653401454621666,,2.8318476360804783,,3.716481195400867,,3.265233427996713,2.662890713999037,2.976743275570358,,,,,,7.564668300243524,,,,
9,,-7.37131173285971,,-5.43081245623313,-5.225955375820652,2.355406237425902,,,12.838501097328452,,,,,-6.828735302950201,-4.096864221159191,,,,,,,-6.95583597930015,,,,,,,,,,,,,,,,,,,,,,,-1.3988566542350631,3.087212296218974,-1.0446623058457418,,2.782804408727639,,3.696735537470944,,3.2571468282112273,2.6596982178975486,2.967299322219867,,,,,,7.517261041389038,,,,
10,,-7.298316380051234,,-5.485417319146128,-5.292847964885933,-6.829509589624365,,,-10.407757228576433,,,,,-6.841818909134259,-4.094481175183722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.095238031268934,-1.3165599102823493,,2.7831416425277102,,3.692871834363462,,3.2547772122605245,2.662503979588939,2.9689860906104335,,,,,,7.498552361293602,,,,
11,,-7.358895474736406,,-5.537977931011933,-5.3090316383311,-6.75082382455843,,,-10.406055105069273,,,,,-6.849822087184901,-4.084766841713734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.135643403158234,-1.5871666302452154,,2.8327420823573712,,3.746023203828303,,3.2947514857817084,2.663345356620852,2.9964557539881422,,,,,,7.5692360171058715,,,,
12,,,,-5.40872414511113,-5.227874775423724,,,,-10.405845715714545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1795642331342369,,,,,,,,,,,,,,,,,,
13,,,,-5.407848649410404,-5.2720259378543854,,,,-10.407017900787952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1759762453990728,,,,,,,,,,,,,,,,,,
14,,,,-5.425850917836798,-5.257909263941135,,,,12.839228516379945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0234522829668147,,,,,,,,,,,,,,,,,,
15,,,,-5.409766213567941,-5.259207235344636,,,,12.841390895724304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9828143355466057,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1185867875176163,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1096974966360305,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5442891436764896,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0756202867576001,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6340052200206945,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6555324015790485,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4866945396793156,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4754880342602323,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6363816805815663,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.621310305533895,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6985742093888683,,,,,,,,,,,,,,,,,,
