,"['Ag0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Cr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mn0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Re0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Tc0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'V0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Cr0+', 'Cr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Fe0+', 'Fe0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mn0+', 'Mn0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Re0+', 'Re0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Tc0+', 'Tc0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'U0+', 'U0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'V0+', 'V0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Ca0+', 'Ca0+', 'Cr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Ca0+', 'Ca0+', 'Ni0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Ca0+', 'Cr0+', 'Cr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Cr0+', 'Cr0+', 'Cr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Fe0+', 'Fe0+', 'Th0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Fe0+', 'Fe0+', 'U0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Fe0+', 'Fe0+', 'Y0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Fe0+', 'Fe0+', 'Yb0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mo0+', 'Mo0+', 'Mo0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Ca0+', 'Ca0+', 'Cr0+', 'Cr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Co0+', 'Co0+', 'Co0+', 'Co0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Er0+', 'Ni0+', 'Ni0+', 'Ni0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Ir0+', 'Ir0+', 'Ir0+', 'Ir0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mn0+', 'Mn0+', 'Mn0+', 'Mn0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mo0+', 'Mo0+', 'Mo0+', 'Mo0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Os0+', 'Os0+', 'Os0+', 'Os0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Ru0+', 'Ru0+', 'Ru0+', 'Ru0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Th0+', 'Th0+', 'Th0+', 'Th0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'U0+', 'U0+', 'U0+', 'U0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Co0+', 'Co0+', 'Co0+', 'Co0+', 'Cu0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Cr0+', 'Cr0+', 'Cr0+', 'Cr0+', 'Cr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Sr0+', 'Sr0+', 'Sr0+', 'Sr0+', 'Sr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Co0+', 'Co0+', 'Co0+', 'Nd0+', 'Nd0+', 'Nd0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Co0+', 'Co0+', 'Co0+', 'Y0+', 'Y0+', 'Y0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Co0+', 'Co0+', 'Gd0+', 'Gd0+', 'Ge0+', 'Ge0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Ge0+', 'Ge0+', 'Ni0+', 'Ni0+', 'Tb0+', 'Tb0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Er0+', 'Er0+', 'Er0+', 'Mo0+', 'Mo0+', 'Mo0+', 'Mo0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Fe0+', 'Fe0+', 'Fe0+', 'Si0+', 'Si0+', 'Si0+', 'Si0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mo0+', 'Mo0+', 'Mo0+', 'Mo0+', 'Yb0+', 'Yb0+', 'Yb0+']","['Al0+', 'Al0+', 'Al0+', 'Fe0+', 'Fe0+', 'Fe0+', 'Fe0+', 'Si0+', 'Si0+', 'Si0+', 'Si0+']","['Al0+', 'Al0+', 'Al0+', 'Li0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+']","['Al0+', 'Al0+', 'Al0+', 'Lu0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+']","['Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+']","['Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Na0+']","['Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Nd0+']","['Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Rb0+']","['Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Sm0+']","['Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Th0+']","['Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Tm0+']","['Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Y0+']","['Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Yb0+']","['Al0+', 'Al0+', 'Ge0+', 'Ge0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+']","['Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+']","['Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Pd0+']","['Al0+', 'B0+', 'B0+', 'Ru0+', 'Ru0+', 'Ru0+', 'Ru0+', 'Ru0+', 'Ru0+', 'Ru0+', 'Ru0+']","['Ce0+', 'Ce0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+']","['Cu0+', 'Cu0+', 'Cu0+', 'Cu0+', 'Cu0+', 'Cu0+', 'Cu0+', 'Cu0+', 'Cu0+', 'Cu0+', 'Cu0+']","['La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+']","['La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'Ni0+', 'Ni0+']","['Li0+', 'Li0+', 'Li0+', 'Li0+', 'Li0+', 'Pt0+', 'Pt0+', 'Pt0+', 'Pt0+', 'Pt0+', 'Pt0+']","['Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+']"
0,1319.8643836371589,106.17249731627368,-938.4865053597075,93.18463925266207,158.418472646338,-175.50210582391344,-576.3663763274872,-1164.4117149355327,975.3655141494937,-146.63692874896535,-206.61936274161755,-252.7544043193485,138.8415284214513,-3576.59463773664,-358.36928267868177,-329.57889790121305,-105.92320200049281,-50.69192864030663,55.51327035753246,122.112204486204,373.95730148852283,-199.21023942771467,981.1343090549788,-262.866038032533,296.4035391302706,-89.69807064439726,-139.6143402017829,-128.55513762218902,3206.9119431086374,-101.74962586957491,728.1122617210667,371.75823121286805,-214.13511561018547,-101.41912628166176,107.75094733548917,443.9208793105223,367.4743484047651,-434.0991170139786,-503.2772660634555,-1077.0850891285031,49.277314775147204,133.951586524805,-63.542173075791425,101.87035067507165,-522.8407456942336,-1515.7521047547598,420.41791506042347,457.1867053198044,-561.6631988697285,-394.49910978869195,-1822.1123018223657,960.0413959248629,-1161.68625143282,472.8505756341891,-503.7197904335691,470.34581843184117,255.920868086022,-412.96920459307285,-240.32227094116553,742.6497388343394,-12647.640460501927,967.7823898170979,862.1407101588757,314.8755811713687,172.4681973177473
1,1666.9022843850526,115.30597081554453,-921.5258431636305,102.33505061180546,145.00844809567258,-171.9549052140652,-577.267368988035,-1098.2342652100033,621.4889645826487,-135.97373579667487,-135.09852042660546,354.02648081185725,131.65400467459017,-3709.3811305153795,246.32528484242349,-388.8711606724859,-90.68358443146184,-53.56639164127324,56.39649767581619,-111.45269932331348,-135.6210508777077,-196.4433117263659,983.2107614083418,83.46691050367002,-288.36625091955307,75.95265738636138,-144.41162475283346,-128.37959492420333,3215.630071001577,-101.70205989910147,625.0610603245374,,-213.85707167241827,-96.9410924055802,78.45584852516771,448.78793722075704,396.85644814013324,-438.68423690733465,-613.6853420484654,-1033.7191682078358,52.67546427288494,-227.27094092191797,-47.89229539072198,151.61029405591034,466.0954708305577,-1744.731472975221,625.5040060072279,-534.3576535911229,851.6129378596245,594.4744778435202,-1554.505886040936,629.6964876266802,-1874.7836550002257,713.6996165377167,651.819947237881,469.8357018496563,220.14839008813962,622.1669938493199,-235.48477328482448,,-12060.143667636708,992.504404916032,1079.4518246968141,303.6574075726382,175.28931902183677
2,2166.539271482944,-1350.2277248692947,-930.3135217693551,95.80486053951284,165.29621858029606,214.3311727066863,,-1059.497436582434,736.5932928817823,-141.27900926950156,-138.995347225726,-192.1377495201093,,-3623.6052556615505,-259.0367906472136,-329.61195045915963,-100.27945068118993,-50.610308820651255,56.13196519606839,123.42357569441236,108.40392648764401,107.96827476310699,994.5718196558455,99.87348231848159,-177.2179774868221,-87.21652293356047,-143.6454491340283,-140.76432912104957,,303.3164967672049,714.881278216511,,,-97.09495723152304,97.5087082929656,435.5037220872746,304.51960216935026,-432.77309745909423,534.9208531956526,-1004.3128380673884,46.50908658302035,98.13653010048426,-39.31489526009784,88.79298701824283,-235.75335453877065,-1822.180782322383,468.9204967701351,433.878091288204,869.6193187451231,455.240731093927,-1583.8538626380246,1244.766214029453,1832.0030049909026,420.21333131191227,640.3757362113624,-475.52800318470673,-980.3317307888789,697.1796034821799,-206.89255847775746,,-13533.40440440034,,-1240.6447336340677,,172.4744123396713
3,,-1352.1699863919523,-929.004581097204,103.26676747564534,186.24513949097144,-144.08408770691105,,-1089.6711319929584,936.4106273912927,-132.3033658079657,-168.04947818762724,340.12032971492397,,-3468.8144143224845,-280.4780485941685,-400.76411650319767,,-53.62652541639949,55.86641491816272,-110.8279899359066,374.7864965650491,-112.42918437076105,1042.764369316094,-79.11113964940563,-215.29435367336828,-76.37921410994689,-119.6244286768798,-122.86959179734151,,303.2565947112734,622.4746457552908,,,-99.60278564135899,99.93241040166373,439.10301849509494,310.16613080584625,-415.7783060847719,485.82240657886615,-1105.7239303913957,44.35626735716136,-249.79299244388676,-59.92992670249265,146.8532373140103,322.02325113122515,-1998.5591091227461,1763.6477484412576,633.8714983852952,-811.0876991141705,241.18958297471096,-1402.0654692883686,-941.1367900039531,-1952.0944961990858,693.4567933380636,773.3665966562834,-475.8309567500352,196.72864273489284,,-194.78605507626492,,-12380.768190978773,,1335.180277185519,,175.28525242397382
4,,-358.14071770060633,,1067.5015342654285,5533.49055020765,-163.52884190905777,,,-785.7926064258914,,,-269.1070179040689,,-3759.9556176945343,-290.0812397745201,-477.79955890958695,,,,,,-121.30115194411309,1006.9450403606559,-73.67387954646591,,,-118.90900723460385,,,,,,,-98.71295235476242,107.32426032202216,452.8385419391708,364.14067109858877,,,-1056.0003084665757,,133.94424162710408,,101.86566493559005,-549.4423913020861,-1829.3695531736669,-1384.3741351927124,-424.78840585581315,785.71653224176,227.76257467505013,-1465.779704104763,-917.9130056699239,-1721.9916312633366,-655.5326559690178,841.9136348687741,,243.36963753386576,,,,-10739.053054272596,,,,
5,,-408.0608909531867,,2203.7276065057786,-2273.9975664132808,428.1937264090835,,,-861.9442472266098,,,481.09906573679166,,-3646.099402048012,-392.06935074074113,-401.1201799421276,,,,,,-103.58189635511798,1035.1604433626019,,,,-141.527416394973,,,,,,,-99.44977771846641,67.22677893845906,454.6170443449993,386.44257879885777,,,-1025.9111261457,,-227.25709312827968,,151.60319491064632,-522.8420500766274,-2070.7792785355405,-397.7799171859158,,-670.5775722138521,589.0975580215709,-1665.6658777884193,467.3781563284454,1626.1632137144304,-783.2640413912457,-983.5453138574526,,-968.2990572438329,,,,-10753.118788519547,,,,
6,,-356.7109111570096,,1555.7467748681077,2859.9200052468277,-137.23281612263162,,,-820.621445277063,,,302.9692421464351,,-3613.829558266987,229.84950641153173,,,,,,,99.27360432059942,,,,,,,,,,,,,,449.4322515083966,314.5060911872987,,,,,98.13025842613735,,88.79802284200858,466.09102073139843,-1776.018671057349,813.8074346092025,,-560.0800320341998,,-1778.6574262961515,,-1674.7408856291001,472.8442091496401,564.8609930997753,,,,,,-12411.129507003045,,,,
7,,-407.0255923309361,,1769.52727113628,-2788.8694436456326,435.21280655025373,,,-787.4770738252475,,,435.72179373184906,,-3596.520610900083,-407.13774595203995,,,,,,,114.17668790746387,,,,,,,,,,,,,,441.0420650787254,311.16062471061457,,,,,-249.78413236143098,,146.85011015606153,-235.7335949717873,-1620.4381144086497,1241.8991782787969,,850.0701476594315,,-1578.3272620181074,,-1578.8265259944926,713.6895477521765,582.9985069546617,,,,,,-12107.962263077821,,,,
8,,338.8236720911476,,-539.0326528834147,6519.182498008113,216.9404437316539,,,598.9051386485759,,,,,-3730.0800924361665,251.27127767174252,,,,,,,-106.81590167999673,,,,,,,,,,,,,,,,,,,,,,,322.00864262133115,-1403.9748534561072,409.14450836487265,,869.7017683199223,,-1664.2234375085857,,-1670.4914238158437,420.19712835644566,490.61305478117464,,,,,,-12831.081093120598,,,,
9,,-254.2990078691717,,1277.2562893328486,7917.863737634178,-138.38433072920017,,,598.5475570678095,,,,,-3685.1103479818985,-286.6505166490042,,,,,,,-87.51153793681794,,,,,,,,,,,,,,,,,,,,,,,-549.4358553721877,-1510.3192964644134,1359.5203929428774,,-809.9647269694275,,-1571.152205410152,,1510.0340589476998,693.4588889748749,-517.4279935609975,,,,,,-12438.645812679795,,,,
10,,335.58316695233486,,-518.2639723338265,3795.6660581094566,-166.15830330793682,,,1049.8576227343892,,,,,-3513.566533167216,-378.21431264239243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1612.823371236686,1864.5380536074836,,786.5594182117723,,-1452.823534915038,,-1738.8722840568205,-655.5329222741266,-358.24212519395576,,,,,,-10407.052728424995,,,,
11,,-260.85106653332133,,1260.3480052397779,1303.9202450455814,-152.99211275238613,,,1073.715528940469,,,,,-3722.7850418491166,-305.16029339312024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1857.8249155791877,379.39722158413167,,-670.0284080751121,,-1598.8069990360805,,-2172.0626970067015,-783.2768116351862,463.47190910977014,,,,,,-10265.254816492874,,,,
12,,,,616.8983344289913,7089.0319064759005,,,,1060.5166042241444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-577.8013399345967,,,,,,,,,,,,,,,,,,
13,,,,1016.3393411932478,6033.340705897536,,,,1066.3471505246412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-599.7643474662375,,,,,,,,,,,,,,,,,,
14,,,,1048.9979406340717,-6019.185831265325,,,,604.4106019903619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561.1172298788789,,,,,,,,,,,,,,,,,,
15,,,,1292.2455916009012,-6268.142910343108,,,,601.4234296388039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757.9440018824289,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-660.260615977132,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-464.2584132939643,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.46983825510364,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.0725049913651,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.71070640926735,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-301.2231058408351,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-334.6885391940542,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.0957258624059,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.7960116123345,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-360.0308083125696,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-800.3021892195517,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766.5538454101747,,,,,,,,,,,,,,,,,,
