,"['Ag0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Cr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mn0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Re0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Tc0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'V0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Cr0+', 'Cr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Fe0+', 'Fe0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mn0+', 'Mn0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Re0+', 'Re0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Tc0+', 'Tc0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'U0+', 'U0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'V0+', 'V0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Ca0+', 'Ca0+', 'Cr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Ca0+', 'Ca0+', 'Ni0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Ca0+', 'Cr0+', 'Cr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Cr0+', 'Cr0+', 'Cr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Fe0+', 'Fe0+', 'Th0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Fe0+', 'Fe0+', 'U0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Fe0+', 'Fe0+', 'Y0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Fe0+', 'Fe0+', 'Yb0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mo0+', 'Mo0+', 'Mo0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Ca0+', 'Ca0+', 'Cr0+', 'Cr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Co0+', 'Co0+', 'Co0+', 'Co0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Er0+', 'Ni0+', 'Ni0+', 'Ni0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Ir0+', 'Ir0+', 'Ir0+', 'Ir0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mn0+', 'Mn0+', 'Mn0+', 'Mn0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mo0+', 'Mo0+', 'Mo0+', 'Mo0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Os0+', 'Os0+', 'Os0+', 'Os0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Ru0+', 'Ru0+', 'Ru0+', 'Ru0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Th0+', 'Th0+', 'Th0+', 'Th0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'U0+', 'U0+', 'U0+', 'U0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Co0+', 'Co0+', 'Co0+', 'Co0+', 'Cu0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Cr0+', 'Cr0+', 'Cr0+', 'Cr0+', 'Cr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Sr0+', 'Sr0+', 'Sr0+', 'Sr0+', 'Sr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Co0+', 'Co0+', 'Co0+', 'Nd0+', 'Nd0+', 'Nd0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Co0+', 'Co0+', 'Co0+', 'Y0+', 'Y0+', 'Y0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Co0+', 'Co0+', 'Gd0+', 'Gd0+', 'Ge0+', 'Ge0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Ge0+', 'Ge0+', 'Ni0+', 'Ni0+', 'Tb0+', 'Tb0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Er0+', 'Er0+', 'Er0+', 'Mo0+', 'Mo0+', 'Mo0+', 'Mo0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Fe0+', 'Fe0+', 'Fe0+', 'Si0+', 'Si0+', 'Si0+', 'Si0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mo0+', 'Mo0+', 'Mo0+', 'Mo0+', 'Yb0+', 'Yb0+', 'Yb0+']","['Al0+', 'Al0+', 'Al0+', 'Fe0+', 'Fe0+', 'Fe0+', 'Fe0+', 'Si0+', 'Si0+', 'Si0+', 'Si0+']","['Al0+', 'Al0+', 'Al0+', 'Li0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+']","['Al0+', 'Al0+', 'Al0+', 'Lu0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+']","['Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+']","['Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Na0+']","['Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Nd0+']","['Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Rb0+']","['Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Sm0+']","['Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Th0+']","['Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Tm0+']","['Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Y0+']","['Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Yb0+']","['Al0+', 'Al0+', 'Ge0+', 'Ge0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+']","['Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+']","['Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Pd0+']","['Al0+', 'B0+', 'B0+', 'Ru0+', 'Ru0+', 'Ru0+', 'Ru0+', 'Ru0+', 'Ru0+', 'Ru0+', 'Ru0+']","['Ce0+', 'Ce0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+']","['Cu0+', 'Cu0+', 'Cu0+', 'Cu0+', 'Cu0+', 'Cu0+', 'Cu0+', 'Cu0+', 'Cu0+', 'Cu0+', 'Cu0+']","['La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+']","['La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'Ni0+', 'Ni0+']","['Li0+', 'Li0+', 'Li0+', 'Li0+', 'Li0+', 'Pt0+', 'Pt0+', 'Pt0+', 'Pt0+', 'Pt0+', 'Pt0+']","['Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+']"
0,0.5786052497098148,0.4508080886285741,0.258999686392699,0.2091885671921668,0.25721824431057366,0.5146277946573776,0.5361413737707191,0.44581872150119856,0.14292360855910308,0.5814066173187482,0.5693064085317046,0.34346444820183136,0.4244328159892815,0.8875355095943797,0.5920307174874005,0.1902509742836186,0.260725843804325,0.043205302818666115,0.1259374745501851,0.07006490092107225,0.05936357319666559,0.9261175874028522,0.7031973690356177,0.9134210762836177,0.00978471107375364,0.0009555640470142297,0.41702086182005754,0.7581476456768489,0.06612114537966267,0.742215444243548,0.43296093008938746,0.4520220980716352,0.5756996314971093,0.5628919421866788,0.28786962070595695,0.1513785909796498,0.12597462479960958,0.7603611517821565,0.5853929303086798,0.16054899511469495,0.1062274854154157,0.5535051255635139,0.3003445016231126,0.7548630458849526,0.6278853663104199,0.3870636379679416,0.1169693943366169,0.8473115125291513,0.4090297485159219,0.7340037694198521,0.022248774292268528,0.31573186324796093,0.3539002368836733,0.3825119605047077,0.08576503167699334,0.901007971754567,0.6690231655637884,0.5177241061476122,0.6620206224378099,0.9492568923207158,0.22749875020566787,0.03315063236226266,0.788413753696668,0.01834886723228178,0.004210957994719642
1,0.7169911458811168,0.45359667031874934,0.25870793572469497,0.20925835871269674,0.2576255284625248,0.5144657973735156,0.5468934380047169,0.4461889032670146,0.1415021840452715,0.5813284980789679,0.5693515832740925,0.3682947068812339,0.4243916370018998,0.8778434518127454,0.5990206373719943,0.19237732395506393,0.2611404222125066,0.04219016302015735,0.12699867346303662,0.07112877282981861,0.05809610399158852,0.924826998913874,0.7035180975323021,0.22361934590638055,0.010570127679927833,0.000853597344147114,0.4757191929470317,0.7534602937996964,0.06603622782124917,0.7422257353298262,0.4329489503482551,,0.5778753785525022,0.5640136816200116,0.2878063774151378,0.15161252586488438,0.12282955954431364,0.7609890681906831,0.5854708352407535,0.16053046352270342,0.10644808496212804,0.5534742035167525,0.30018283202837714,0.7560705415816137,0.46748663803077495,0.38733870965549516,0.11534243258102757,0.7351100399703218,0.40831347140753715,0.7160810550816988,0.022047544714986756,0.3156397497429593,0.3523275916072035,0.3811802619374078,0.08813046075229808,0.9012938505007043,0.6676975429728279,0.3664935536947485,0.6623738944470409,,0.2270394321732718,0.019253880882581748,0.7902288291109892,0.01866298020302551,0.003390677340503854
2,0.7112938018436127,0.14673054777458888,0.2590958755517056,0.20909746185068226,0.25717822384452327,0.4772862212571716,,0.4461210296837668,0.1403949814905842,0.5811630227604082,0.5693192877971656,0.3194753398607806,,0.8827856208129511,0.5929916611178477,0.1920101454826141,0.25992583298791266,0.04297170671880562,0.12646954441018385,0.0700754747677434,0.05790094536323829,0.19551117975000878,0.703799090171343,0.22394165652535944,0.2865677567925639,0.0009877402090243453,0.4770875248590488,0.7430895573441761,,0.5132068750818001,0.43368584604761434,,,0.563468848416021,0.28715414936935835,0.1513600255174107,0.12369526585871733,0.7603923460953154,0.5852369902645561,0.15958842054697606,0.10616599128025511,0.55381902667334,0.3003650891890515,0.7556004808874863,0.20143980437061826,0.3632707617051447,0.11875089135416483,0.4451337917142955,0.41029251317230503,0.7338534542291796,0.036039578707051656,0.31666815273282684,0.33031919519322417,0.3819515254368462,0.09502439530780399,0.9046476432404881,0.9944829228758751,0.41661672399437466,0.6631787829966339,,0.23247713374902743,,0.7876561245119832,,0.004210957994719642
3,,0.1427277073118478,0.25871104997376526,0.2094306635919014,0.25756756861449753,0.8309531516926824,,0.44583564534133174,0.1431924106580267,0.5811825650449427,0.5692980579692903,0.3675311593656344,,0.88185967159721,0.590241300344255,0.18764827803303216,,0.04294624809510893,0.12838537020701934,0.07110549476462336,0.059316391174703456,0.21718404205205377,0.7041931879565271,0.36134206484400955,0.2346309669331865,0.0008745826803443905,0.3572754297147592,0.7480830165260837,,0.5132070529627978,0.4336023518045744,,,0.5624513032434609,0.28721330247490817,0.15149297288331318,0.12503459328866287,0.7615742555407021,0.585491233388015,0.16034748027666884,0.10589495028839696,0.5536726162278044,0.3004171133601196,0.7572660387677282,0.2012876473294927,0.3685865914016569,0.31919871513931136,0.47569113107700184,0.4125465532530917,0.7197131587585583,0.03981521267931028,0.31768413772936815,0.33489666629407205,0.3759665683644172,0.10662706175440366,0.904510289786213,0.65805749755913,,0.663587226532846,,0.22687311457443893,,0.7947040208872468,,0.003390677340503854
4,,0.4934226928708234,,0.9781153055397781,0.8982770357596018,0.7500888163860052,,,0.3640613596106629,,,0.32685188306632745,,0.8779154604868731,0.6054128602073464,0.18881062020602074,,,,,,0.21303929198735666,0.7035888839059851,0.3613723218473331,,,0.35813489263809073,,,,,,,0.5642247287713262,0.2879983122520369,0.15174151806303537,0.12595642216484948,,,0.16066477039135646,,0.5535051255635139,,0.7548630458849526,0.46289594021597436,0.36990981657694044,0.41152094354802576,0.5284727659882192,0.4133221839252725,0.7178927001384284,0.04217800158131052,0.3179020479103936,0.3390479904343357,0.375049479549639,0.11326290201457002,,0.657450448978738,,,,0.2314507085282385,,,,
5,,0.4913594613359939,,0.9437233963561034,0.8714581213968735,0.09982685529339669,,,0.36493177053383563,,,0.3759356689287327,,0.8887097061711465,0.5918415052942858,0.18838950690980596,,,,,,0.19153727728696673,0.7029078887382904,,,,0.4169395347992094,,,,,,,0.5640651858222165,0.2874688775319805,0.15149118676450932,0.12264413418817684,,,0.16104100984607128,,0.5534742035167525,,0.7560705415816137,0.6278853663104199,0.3603563389086034,0.45871317842997605,,0.40557558668196303,0.7182400573276777,0.039183432385089506,0.31544795446001195,0.3310628788713549,0.38275111962238667,0.09740873212419247,,0.9908689308655128,,,,0.230536982064449,,,,
6,,0.49486569788318746,,0.8942232629546846,0.8146460971491251,0.6102113283044096,,,0.3639680353150399,,,0.3522811341508563,,0.8642739722324018,0.6052884297566955,,,,,,,0.19514841684150083,,,,,,,,,,,,,,0.1518547958735921,0.1233999232283043,,,,,0.55381902667334,,0.7556004808874863,0.46748663803077495,0.3606373247668803,0.7273869810950437,,0.4090297485159219,,0.04291789994360843,,0.3287573758206505,0.3825119605047077,0.09065019948098527,,,,,,0.22714804087349463,,,,
7,,0.49044981232973467,,0.9312863333383804,0.8564970373486068,0.09974264184764986,,,0.364746442521618,,,0.3746072351472584,,0.8726514737397906,0.594546455114445,,,,,,,0.1941234183786543,,,,,,,,,,,,,,0.15195035742019458,0.12488595798131849,,,,,0.5536726162278044,,0.7572660387677282,0.20143980437061826,0.36511571837799,0.7227776202165618,,0.40831347140753715,,0.03932298795402752,,0.3320210984996886,0.3811802619374078,0.0889803960738034,,,,,,0.23209025641209566,,,,
8,,0.6435449429636555,,0.9029388354864704,0.8140970857377836,0.4776216023448927,,,0.2464366843603092,,,,,0.8634868040051747,0.5900848103835529,,,,,,,0.1959156079200032,,,,,,,,,,,,,,,,,,,,,,,0.2012876473294927,0.365169699874654,0.46040830992426973,,0.41029251317230503,,0.03585923463554887,,0.3329293084989952,0.3819515254368462,0.0825881918850844,,,,,,0.23314327647679806,,,,
9,,0.6585560038576573,,0.9457834116428426,0.8788517853703672,0.6093490966449686,,,0.2465585578048002,,,,,0.8728920580618377,0.5934620499002647,,,,,,,0.19774828467531252,,,,,,,,,,,,,,,,,,,,,,,0.46289594021597436,0.368751672760177,0.4249484643461103,,0.4125465532530917,,0.0452694952643687,,0.33650693476824733,0.3759665683644172,0.09356159605727503,,,,,,0.23266329806620867,,,,
10,,0.645166674398649,,0.9010859371361623,0.8227430447266071,0.7502160986227701,,,0.5462960832737127,,,,,0.8681092302910067,0.5946684528479126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3670187185747577,0.322081459261719,,0.4133221839252725,,0.04935094096281333,,0.33413957728677623,0.375049479549639,0.0855627588181855,,,,,,0.22543120787320717,,,,
11,,0.6570471871052235,,0.89100465778265,0.8211279012190934,0.8310747737211907,,,0.5463794131828777,,,,,0.8590644121238988,0.5994860757762703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37034255892661433,0.48885294775288857,,0.40557558668196303,,0.027820755498992284,,0.3375129910611159,0.38275111962238667,0.10870277729425663,,,,,,0.23116122787192292,,,,
12,,,,0.9329947772758268,0.8622971662956588,,,,0.5463813062910419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6315789460255921,,,,,,,,,,,,,,,,,,
13,,,,0.9705380745375114,0.8905433926628171,,,,0.5462665650518908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40012123890701323,,,,,,,,,,,,,,,,,,
14,,,,0.9686432155701067,0.8936665966843536,,,,0.24654308357649687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6693818210276143,,,,,,,,,,,,,,,,,,
15,,,,0.9738742226819985,0.8951803053641795,,,,0.24649899586759136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7609059451510054,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42868807978499623,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.642763357193478,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4284572401047635,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3017840805231339,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25505494318028227,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3616317952339984,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10757593325385362,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11421757794350212,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3615994545151527,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25571482141007945,,,,,,,,,,,,,,,,,,
