,"['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Cr0+', 'Cr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'V0+', 'V0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Cr0+', 'Cr0+', 'Cr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mn0+', 'Mn0+', 'Mn0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mn0+', 'Mn0+', 'Ni0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mn0+', 'Ni0+', 'Ni0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Np0+', 'Np0+', 'Np0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Pu0+', 'Pu0+', 'Pu0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Sm0+', 'Sm0+', 'Sm0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Tb0+', 'Tb0+', 'Tb0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'U0+', 'U0+', 'U0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'V0+', 'V0+', 'V0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Cr0+', 'Cr0+', 'Cr0+', 'Cr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mn0+', 'Mn0+', 'Mn0+', 'Ni0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mn0+', 'Mn0+', 'Mn0+', 'Si0+']"
0,-4.71193214151311,-5.501606776187517,4.650661438433596,-6.657299520410787,7.247798675849569,3.7120160716063713,6.083984073580928,5.662295147260368,-2.6137836846272045,-2.8973999935586043,6.390646160563453,6.688131463792095,11.523078202844722,-8.115544302982403,3.8825015111045422
1,-4.463214477117794,-5.521538374585703,4.651657462602413,-6.6443799413624545,7.262883495395723,3.709483235495653,6.08033822417742,5.670141924966821,-2.6137836846272045,-2.897036809343389,6.386413452965476,6.686874880640533,11.519411457552275,-8.114029135704495,3.878910577057414
2,-4.712611910177969,-5.501879260901217,,-6.6597503331184615,7.286476105641877,3.708391634770736,,,-2.6137836846272045,,,,11.535328997842555,-8.12548295977409,3.8817512045922062
3,-4.449429766961965,-5.5208221456000315,,-6.664827206681059,7.277515125981754,3.7049252507251413,,,-2.6137836846272045,,,,,-8.101923482429354,3.89378087417276
4,,,,-6.652494187936919,7.251139716939448,,,,,,,,,,3.8813042073050887
5,,,,-6.648163487877395,7.258035044760173,,,,,,,,,,3.8767566319716873
6,,,,-6.674168052827879,7.269413494447271,,,,,,,,,,3.8865813276212577
7,,,,-6.652666213169822,7.294159180985608,,,,,,,,,,3.8933839473297844
8,,,,3.2864845524154096,,,,,,,,,,,3.8732131785341295
9,,,,3.2848130176972803,,,,,,,,,,,3.8845814993222074
10,,,,3.2934902724103012,,,,,,,,,,,3.8791675431057384
11,,,,3.2775373370501844,,,,,,,,,,,3.8864095910878964
12,,,,3.2932575333800647,,,,,,,,,,,
13,,,,3.2819201008044163,,,,,,,,,,,
14,,,,3.290243437167469,,,,,,,,,,,
15,,,,3.281971444187208,,,,,,,,,,,
16,,,,3.291641059719254,,,,,,,,,,,
17,,,,3.2794059822588215,,,,,,,,,,,
18,,,,3.2880546276869387,,,,,,,,,,,
19,,,,3.2889708663284187,,,,,,,,,,,
