,"['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Cr0+', 'Cr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'V0+', 'V0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Cr0+', 'Cr0+', 'Cr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mn0+', 'Mn0+', 'Mn0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mn0+', 'Mn0+', 'Ni0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mn0+', 'Ni0+', 'Ni0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Np0+', 'Np0+', 'Np0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Pu0+', 'Pu0+', 'Pu0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Sm0+', 'Sm0+', 'Sm0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Tb0+', 'Tb0+', 'Tb0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'U0+', 'U0+', 'U0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'V0+', 'V0+', 'V0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Cr0+', 'Cr0+', 'Cr0+', 'Cr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mn0+', 'Mn0+', 'Mn0+', 'Ni0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mn0+', 'Mn0+', 'Mn0+', 'Si0+']"
0,323.65978366666656,423.7147336666664,224.06747766666663,381.77052633333324,272.8437563333334,-316.93952599999994,174.27742666666666,536.1274336666667,428.61370833333336,457.9787583333334,464.2435563333332,504.7526530000003,388.05725033333346,354.8884346666667,396.9768676666667
1,315.33485133333346,412.3616666666666,222.43707000000006,335.99463066666664,152.72088233333338,-34.029982666666626,174.03131299999987,535.7493176666666,427.1272093333332,454.979317,459.3626783333332,502.94246233333325,396.3951103333332,378.1105853333335,424.3263630000001
2,319.2104889999999,425.1583280000002,,340.24494833333335,132.54883233333308,-218.71831566666685,,,428.4447080000003,,,,395.6739646666667,402.9014109999999,397.24890066666677
3,322.11674,412.4976976666665,,365.58704300000005,135.34232533333332,-309.8770296666666,,,427.3041903333331,,,,,369.97207800000007,401.60686233333337
4,,,,355.01222266666656,185.8245899999998,,,,,,,,,,391.241244
5,,,,320.80218066666663,350.7097940000001,,,,,,,,,,424.40377500000005
6,,,,322.9422933333333,167.1981416666667,,,,,,,,,,433.714715
7,,,,369.9316906666668,68.84080933333361,,,,,,,,,,435.739523
8,,,,369.75474866666656,,,,,,,,,,,396.41760699999986
9,,,,413.4176786666665,,,,,,,,,,,418.966406
10,,,,394.94826533333327,,,,,,,,,,,424.57283566666655
11,,,,383.03951933333343,,,,,,,,,,,401.9004823333333
12,,,,402.4968039999998,,,,,,,,,,,
13,,,,369.8177766666667,,,,,,,,,,,
14,,,,411.1155813333335,,,,,,,,,,,
15,,,,352.2426416666669,,,,,,,,,,,
16,,,,400.63434866666665,,,,,,,,,,,
17,,,,394.25180066666684,,,,,,,,,,,
18,,,,356.8109686666666,,,,,,,,,,,
19,,,,399.93665999999985,,,,,,,,,,,
