,"['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Cr0+', 'Cr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'V0+', 'V0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Cr0+', 'Cr0+', 'Cr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mn0+', 'Mn0+', 'Mn0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mn0+', 'Mn0+', 'Ni0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mn0+', 'Ni0+', 'Ni0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Np0+', 'Np0+', 'Np0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Pu0+', 'Pu0+', 'Pu0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Sm0+', 'Sm0+', 'Sm0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Tb0+', 'Tb0+', 'Tb0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'U0+', 'U0+', 'U0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'V0+', 'V0+', 'V0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Cr0+', 'Cr0+', 'Cr0+', 'Cr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mn0+', 'Mn0+', 'Mn0+', 'Ni0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mn0+', 'Mn0+', 'Mn0+', 'Si0+']"
0,0.7553682763151299,0.32969852843138253,0.4936250970749878,0.7101537626423042,0.9987208791714409,0.08188959904532843,0.6391868250446013,0.18309959300759152,0.34342564829469974,0.33222166203032333,0.8981645405082358,0.41565656740598583,0.9914830947797209,0.5994606781026288,0.8850452634023073
1,0.8761506021622478,0.41516976711060743,0.5100632020629695,0.3907169086123856,0.3444076457366859,0.21808574799050592,0.644426113225045,0.2622093089267586,0.3410688275733968,0.35979739077313033,0.8954397669043791,0.40023499185904104,0.8960956895642744,0.6169828098656953,0.4841593910633769
2,0.7664606493965501,0.3694009928595612,,0.17217099496969226,0.35193843697101507,0.1537277204077365,,,0.3453209714671485,,,,0.9873298880725976,0.5941067972347652,0.9633121053941747
3,0.9029117836598934,0.3901319721221323,,0.47829117951430705,0.3401780642289185,0.12102696219709605,,,0.3388333904028396,,,,,0.513221392547956,0.8166692653594503
4,,,,0.28493946086615934,0.5151019120264955,,,,,,,,,,0.7283417987610877
5,,,,0.6281732153668581,0.7323689224188767,,,,,,,,,,0.20116647179476851
6,,,,0.5626055758158737,0.351333741130693,,,,,,,,,,0.6925563876450465
7,,,,0.5236481625823213,0.2548774530343713,,,,,,,,,,0.697982799470467
8,,,,0.5670876064009733,,,,,,,,,,,0.6821270289734409
9,,,,0.40848951104777015,,,,,,,,,,,0.2179412869815923
10,,,,0.6695969193998231,,,,,,,,,,,0.5810259602377187
11,,,,0.7751336797198738,,,,,,,,,,,0.841184795760895
12,,,,0.08295151321795073,,,,,,,,,,,
13,,,,0.4411454168764545,,,,,,,,,,,
14,,,,0.29322866265641956,,,,,,,,,,,
15,,,,0.2421331666582689,,,,,,,,,,,
16,,,,0.5826341290903064,,,,,,,,,,,
17,,,,0.8568643101608249,,,,,,,,,,,
18,,,,0.18718468579754877,,,,,,,,,,,
19,,,,0.4263390159621558,,,,,,,,,,,
