,['Au0+'],['Co0+'],['Cu0+'],['F-'],['Fe0+'],['H0+'],['Ni0+'],['Ru0+'],['W0+']
0,-126.44275811542178,167.43134914240358,-155.19252499503293,2018.4977497492891,903.3775442383287,-74.49927083424728,-275.6735934258893,-1003.5556526345779,1953.8012842199873
1,,173.12988465167507,-160.9439118903295,2031.718899587933,1465.5980172179509,-74.64677422010732,-205.25212214772614,-1039.265409821239,1732.6463350344416
2,,104.15005006632595,-748.4669630056391,,-1499.5370767334841,,-567.7257389626479,-1016.9874655350109,-1917.481884523253
3,,,,,838.6858886803072,,-628.3572023287321,-1039.0359692860463,2597.71045675022
4,,,,,,,178.0093263285799,,1028.7855288653946
5,,,,,,,-207.767022492348,,-1489.257429020209
6,,,,,,,-629.837697585285,,2197.106496072744
7,,,,,,,-640.3390271307899,,1000.5905168717976
8,,,,,,,-392.3298294980501,,-1412.8615851753573
9,,,,,,,-418.97152070375785,,1985.0743785371906
10,,,,,,,243.54339200913358,,1968.5353064341843
11,,,,,,,-168.04139891618811,,2119.429135845261
12,,,,,,,-394.55738503233613,,
13,,,,,,,-359.18700948126684,,
14,,,,,,,204.45489745913312,,
15,,,,,,,204.96042266975968,,
16,,,,,,,-975.3183319107532,,
17,,,,,,,-968.5431865986754,,
18,,,,,,,-165.17062703972266,,
19,,,,,,,164.21428354055598,,
20,,,,,,,-165.77919916988571,,
21,,,,,,,-247.77675189063842,,
22,,,,,,,249.13124748873486,,
23,,,,,,,288.0032363814629,,
24,,,,,,,-177.82495827221226,,
25,,,,,,,237.52273485641956,,
26,,,,,,,-975.373261296855,,
27,,,,,,,-903.5659128979071,,
28,,,,,,,-934.7340191314506,,
29,,,,,,,-970.6850096987573,,
30,,,,,,,-987.6424681567216,,
31,,,,,,,-984.946657765372,,
32,,,,,,,-590.1848005355581,,
33,,,,,,,-779.9511057509065,,
34,,,,,,,-697.4080763216191,,
35,,,,,,,-698.1238431041812,,
