,['Au0+'],['Co0+'],['Cu0+'],['F-'],['Fe0+'],['H0+'],['Ni0+'],['Ru0+'],['W0+']
0,464.73069366666647,505.0348350000001,347.33652366666684,1417.522548666665,285.6335113333334,383.86830033333325,310.29519066666666,383.1268303333334,1007.5910853333345
1,,535.4861276666667,423.6844939999999,1423.8577590000002,-37.896116999999855,383.6981120000002,320.2982113333332,390.17478033333356,501.9133783333336
2,,508.317075,27.997619666666765,,-68.76475833333325,,88.56246666666654,379.6649310000002,-737.7420553333332
3,,,,,281.6759716666666,,121.57734633333337,394.41887566666674,427.2853420000002
4,,,,,,,348.8469556666667,,55.77182233333334
5,,,,,,,241.02928866666676,,211.89636733333353
6,,,,,,,711.2109243333335,,512.0380826666669
7,,,,,,,730.6836046666664,,-150.96586199999976
8,,,,,,,221.13649500000005,,-182.81295833333365
9,,,,,,,222.63909000000004,,1028.054336333334
10,,,,,,,398.63474766666656,,792.2958483333338
11,,,,,,,370.57151633333325,,1226.3920773333343
12,,,,,,,221.51200166666658,,
13,,,,,,,198.308976,,
14,,,,,,,497.85835199999997,,
15,,,,,,,486.0543126666665,,
16,,,,,,,79.25551066666647,,
17,,,,,,,68.66076200000005,,
18,,,,,,,404.3710503333334,,
19,,,,,,,408.46634366666666,,
20,,,,,,,334.2485893333333,,
21,,,,,,,359.7990929999999,,
22,,,,,,,541.1215309999999,,
23,,,,,,,606.2694126666667,,
24,,,,,,,291.3795270000001,,
25,,,,,,,353.47007900000017,,
26,,,,,,,-228.7268186666669,,
27,,,,,,,-346.13308366666644,,
28,,,,,,,-361.9812313333332,,
29,,,,,,,-356.960181666667,,
30,,,,,,,-365.8816683333329,,
31,,,,,,,-261.05408966666687,,
32,,,,,,,632.8643416666664,,
33,,,,,,,626.5645919999997,,
34,,,,,,,368.632823,,
35,,,,,,,371.7755133333335,,
