,['Au0+'],['Co0+'],['Cu0+'],['F-'],['Fe0+'],['H0+'],['Ni0+'],['Ru0+'],['W0+']
0,0.0682654427901775,0.24867947186894895,0.0464619322440562,0.3574029344944697,0.464885486420542,0.024664568739831784,0.006642306690104807,0.5002885492157826,0.5626761977257035
1,,0.24962862221233822,0.05435474578261353,0.36086358755803344,0.35639122819426583,0.024664568739831784,0.01250826371658178,0.5002748166863822,0.5778827078651918
2,,0.2431756556975247,0.08267429136432602,,0.3564730516547571,,0.26473947628693467,0.49999238606172863,0.5705665580136333
3,,,,,0.4646966763812304,,0.26319197982976367,0.5005537360689442,0.5816983204409272
4,,,,,,,0.08424000795028666,,0.5705153563219335
5,,,,,,,0.0847765111472151,,0.578097277543109
6,,,,,,,0.3994914854954892,,0.581423330618475
7,,,,,,,0.3994048420420672,,0.580850717978106
8,,,,,,,0.18006790231148917,,0.5832675466685545
9,,,,,,,0.17782994948020028,,0.5528734014713914
10,,,,,,,0.03727099946148055,,0.551052621163998
11,,,,,,,0.038559349518757224,,0.5644957541502913
12,,,,,,,0.08487078238995027,,
13,,,,,,,0.09113873194809995,,
14,,,,,,,0.859451779807892,,
15,,,,,,,0.8589354697350862,,
16,,,,,,,0.544876690275529,,
17,,,,,,,0.5449067206469154,,
18,,,,,,,0.41280636154840045,,
19,,,,,,,0.4113260691620822,,
20,,,,,,,0.050935299777012305,,
21,,,,,,,0.04675945133704699,,
22,,,,,,,0.7452962863173616,,
23,,,,,,,0.8245632590534935,,
24,,,,,,,0.05921906841078092,,
25,,,,,,,0.05795051701086127,,
26,,,,,,,0.02815163132991387,,
27,,,,,,,0.030403195110236092,,
28,,,,,,,0.027772372188147425,,
29,,,,,,,0.02728470206755779,,
30,,,,,,,0.030091760889399004,,
31,,,,,,,0.028628104944910634,,
32,,,,,,,0.1672656990480911,,
33,,,,,,,0.167190205548435,,
34,,,,,,,0.863969945061262,,
35,,,,,,,0.8754827830365889,,
