,"['Au0+', 'Au0+']","['Au0+', 'Li0+']","['Au0+', 'Tc0+']","['B0+', 'B0+']","['B3-', 'B3-']","['Ba0+', 'Ba0+']","['C0+', 'C0+']","['C0+', 'O0+']","['C4-', 'C4-']","['Ca0+', 'Ca0+']","['Cl0+', 'Cl0+']","['Co0+', 'Co0+']","['Co0+', 'Li0+']","['Co0+', 'Rh0+']","['Co0+', 'Tc0+']","['Cr0+', 'Cr0+']","['Cr0+', 'Fe0+']","['Cr0+', 'Ir0+']","['Cr0+', 'Tc0+']","['Cu0+', 'Cu0+']","['Cu0+', 'Ni0+']","['Cu0+', 'Pd0+']","['Cu0+', 'Tc0+']","['Er0+', 'Er0+']","['F-', 'F-']","['Fe0+', 'Fe0+']","['Fe0+', 'Pt0+']","['Fe0+', 'Tc0+']","['Ga0+', 'Ga0+']","['H-', 'H-']","['Hf0+', 'Hf0+']","['Hg0+', 'Hg0+']","['Ir0+', 'Ir0+']","['Ir0+', 'Mn0+']","['Ir0+', 'Tc0+']","['Ir0+', 'V0+']","['La0+', 'La0+']","['La0+', 'Y0+']","['Li0+', 'Li0+']","['Li0+', 'Ru0+']","['Mn0+', 'Mn0+']","['Mn0+', 'Ni0+']","['Mn0+', 'Tc0+']","['Mo0+', 'Mo0+']","['Ni0+', 'Ni0+']","['Ni0+', 'Pt0+']","['Ni0+', 'Tc0+']","['O0+', 'O0+']","['O2-', 'O2-']","['Os0+', 'Os0+']","['Os0+', 'Pd0+']","['Os0+', 'Pt0+']","['Os0+', 'Sc0+']","['Pd0+', 'Pd0+']","['Pd0+', 'Pt0+']","['Pd0+', 'Tc0+']","['Pt0+', 'Pt0+']","['Pt0+', 'Tc0+']","['Re0+', 'Re0+']","['Rh0+', 'Rh0+']","['Rh0+', 'Tc0+']","['Ru0+', 'Ru0+']","['Sc0+', 'Sc0+']","['Sc0+', 'Tc0+']","['Sc0+', 'Y0+']","['Si0+', 'Si0+']","['Si4-', 'Si4-']","['Sr0+', 'Sr0+']","['Tc0+', 'Tc0+']","['Tc3-', 'Tc3-']","['Te2-', 'Te2-']","['Ti0+', 'Ti0+']","['U0+', 'U0+']","['W0+', 'W0+']","['Y0+', 'Y0+']","['Zn0+', 'Zn0+']","['Zr0+', 'Zr0+']"
0,-3672.1713748301836,-4188.471420482149,-1115.4620266930683,-18.228631106733417,-156.05253447764755,-60.93326979403088,-96.29342564153814,70.1951340035987,-58.45224901503684,-544.5640749159954,-214.66411598938947,-296.2899772604244,120.71958546457813,-394.133887246319,-785.2805273200486,-989.5985294861979,-945.0744400932527,1080.1887109509405,894.2765074781416,-5183.969721562702,-1736.9049288373612,-8055.7349603408675,-995.2016335546766,313.53988955511204,-112.36263913669688,-467.80133925914276,-413.2995065741149,-882.6843718253994,-387.3076142959042,-36.060659545144915,175.44336216180133,1685.002634385136,-563.9211228970971,7322.416143363819,-338.1855787017214,-501.8354854651152,79.5811372269055,-45.13332955588415,-2082.1155332368257,-149.69340448507296,-211.90975615167554,-708.855514764391,-422.4116675562889,122.50494353046071,-1011.0122308929116,-442.72391833289214,-437.7347820503939,-256.0670511549073,-69.66095076505346,-775.3749758735272,-388.9095567008938,-374.63817022608407,-377.70492059776376,-460.8501566353803,-388.1448688766297,-407.8991925863119,-343.3892230187964,-371.707983877444,-333.7487435234843,-494.8987306970299,-409.448737014398,-458.4733056739093,-139.52007420633709,1120.9050496867108,-112.96011771862537,5173.203591171164,-101.04004953734659,1707.7876471086836,-550.3322580935966,-622.6934493141541,152.67170111715603,-802.1465881405929,403.90770687250614,-422.4685732093859,136.82262924996746,-1066.5327733919255,11.895024273131957
1,-458.0468153561137,-4188.474853777876,-1115.4923820354752,61.49163010257746,,,,138.038875764958,-58.451778137305894,-360.01801824656303,,-230.20669135672682,120.71324827235117,-394.18041952033025,-785.2469511620435,-1201.9846851737775,-945.0741580185463,1080.1553182045034,894.129374670659,889.063601547256,-1736.905428873009,-8055.950714328075,-995.2062025131092,340.52935135314283,,123.43496389390975,-413.8645318466133,-882.6788179735743,-1361.1039136049567,-36.04082365717767,1534.4095992744938,,-325.2009322367866,7189.965387962361,-338.19207233285766,-501.87590585325904,213.53566905940087,-252.60021644175538,807.7894889312602,-149.41565609024428,-402.36386283414856,-250.22871857800857,-422.2880783123546,118.22718230657938,-997.4220206909923,-442.78799925708057,-437.7344939735421,-314.16328929753774,-81.26510595080894,1433.3908362855127,-388.9042802565321,-374.5959809766627,-377.6600253275889,-458.5655596914755,-388.142255258793,-407.8991911026243,-450.53180896163366,-371.69699217798427,-142.65712358502424,1462.3449571880942,-409.456615166333,-660.7605366806404,-201.048928577114,1120.8942389979777,-115.18485347070884,5168.531405322947,-101.47040334696442,,-160.01584212347706,1819.907334074826,,-193.17541121337752,-211.34651047042922,-440.79756967266576,1796.0444164615892,,
2,-2440.8674494534193,,,-18.228582243482606,,,,,-56.828831360018626,-121.3904686298342,,77.35316350086242,,,,2239.924039438096,,,,168.8577404166091,,,,333.73543215361394,,122.56581493693307,,,-1303.6308288710636,,,,-303.29554284096116,,,,273.9600786551455,,,,-498.0873234540051,-463.36823107233624,,-465.53371511462296,-809.5136779870024,,,176.67446896907455,,1449.3773495583196,,,,-420.38144304610455,,,-1032.6103754670212,,-147.0717830638627,1478.7176622711627,,-520.2616582731473,801.1908126633905,,,1017.3072506344187,,,-145.92059437647043,-365.37937009270183,,,,113.67719011850085,1713.603583262693,,
3,-1285.6885309772981,,,,,,,,-106.30368092411095,-285.412250802998,,79.93994066464074,,,,2274.337228150727,,,,152.67621619026932,,,,340.3513097802772,,123.54914971254271,,,-1020.4187492168419,,,,-380.5481306929222,,,,,,,,312.758976687196,-1125.120556274767,,-433.3777727001333,-472.0877774139866,,,143.44160335901677,,,,,,,,,-1044.4803131939386,,-144.74693232843782,-480.6412355978066,,-836.3067228254591,-303.9274178633695,,,1002.2695128149413,,,-126.57711505489934,320.9081044343772,,,,-94.40886649897107,-35.493774686758464,,
4,-124.39910111954828,,,,,,,,-56.82883134979386,-246.24278741787435,,-316.4068796616376,,,,2264.0551771570354,,,,560.5482493559534,,,,,,122.7190897946341,,,-1271.2647569383726,,,,-161.05846698118853,,,,,,,,-326.09760538080786,-451.47402289087506,,132.76173937957287,-752.9070127706299,,,,,,,,,,,,238.7196191198268,,-153.28504801429543,327.87317611990017,,-131.80325708216975,-40.75724645801756,,,-470.7860069688226,,,-159.06185296157037,-446.49962936929523,,,,-79.3538350568162,2161.774768303764,,
5,-126.84593805489709,,,,,,,,-106.30368092411095,-2039.8803330142039,,-316.73368999941886,,,,1507.3700431710045,,,,-565.0554034186665,,,,,,64.72237783561496,,,-1031.881330051925,,,,-102.965612826604,,,,,,,,308.04952469566115,-692.023180241264,,99.3805366665253,63.51756318950811,,,,,,,,,,,,234.63179572030944,,,-1267.8837160793164,,-135.09368769148006,405.8845511027798,,,-469.0530140553503,,,,-1129.7134778974466,,,,71.7438051998646,-423.57701090383597,,
6,,,,,,,,,33.98980945016328,-1905.611543294296,,-313.34828385494745,,,,1557.5902978235215,,,,117.03297675101481,,,,,,65.51211754603457,,,1490.6110240555886,,,,-274.27745099126736,,,,,,,,-503.24011590326194,-1229.9725032305782,,-1258.810256801102,-405.27960381033563,,,,,,,,,,,,497.096993916332,,,948.296607027511,,-135.87578431266763,-335.9657198675147,,,1125.3823502780951,,,,-1159.133680669105,,,,389.80378078103206,2253.9516161824354,,
7,,,,,,,,,33.85043387546014,-2052.893276867484,,-312.65160685508397,,,,1481.0974555715236,,,,118.91982529586176,,,,,,63.662573524978825,,,,,,,-162.19517380648028,,,,,,,,-333.2967440364811,694.3273622991113,,-1256.3909296027932,-425.9222546412778,,,,,,,,,,,,488.3804190751144,,,-1260.0602492625608,,-130.6467348877735,1184.6096739466195,,,1126.630007164419,,,,1471.2367576066972,,,,453.3006581490889,,,
8,,,,,,,,,33.85275046114725,,,82.72982124003858,,,,,,,,-910.6771560178754,,,,,,62.940351720722845,,,,,,,-181.3756478611529,,,,,,,,1119.120312151581,,,-1163.4689696221737,1159.0533480765057,,,,,,,,,,,,,,,950.0875098394552,,-196.05441553480415,,,,1060.8745247434945,,,,436.35396436118504,,,,-333.376400635129,,,
9,,,,,,,,,,,,147.82702414897392,,,,,,,,-903.8972450702312,,,,,,275.5058369292311,,,,,,,-279.1987458130158,,,,,,,,1409.00868419556,,,-1163.9582633754424,1151.0475260239277,,,,,,,,,,,,,,,-2195.7660972152453,,-188.97068291400072,,,,1047.6317101606244,,,,-3259.8449744424433,,,,336.57379382363524,,,
