,"['As3-', 'As3-', 'As3-']","['Au0+', 'Au0+', 'Au0+']","['C0+', 'C0+', 'C0+']","['C4-', 'C4-', 'C4-']","['Cl0+', 'Cl0+', 'Cl0+']","['Co0+', 'Co0+', 'Co0+']","['Co0+', 'Co0+', 'Cu0+']","['Cu0+', 'Cu0+', 'Cu0+']","['F-', 'F-', 'F-']","['Fe0+', 'Fe0+', 'Fe0+']","['Fe0+', 'Fe0+', 'Si0+']","['Ge0+', 'Ge0+', 'Ge0+']","['H+', 'N3-', 'N3-']","['Ir0+', 'Ir0+', 'Ir0+']","['Mn0+', 'Ni0+', 'Ni0+']","['Mo0+', 'Mo0+', 'Mo0+']","['N2.6-', 'N2.6-', 'N2.6-']","['N2.6-', 'N2.6-', 'O2-']","['N3-', 'N3-', 'N3-']","['N3-', 'N3-', 'O2-']","['N3-', 'O2-', 'O2-']","['Ni0+', 'Ni0+', 'Ni0+']","['O2-', 'O2-', 'O2-']","['Os0+', 'Os0+', 'Os0+']","['P3-', 'P3-', 'P3-']","['Pd0+', 'Pd0+', 'Pd0+']","['Pt0+', 'Pt0+', 'Pt0+']","['Rh0+', 'Rh0+', 'Rh0+']","['Ru0+', 'Ru0+', 'Ru0+']","['Sb3-', 'Sb3-', 'Sb3-']","['Si0+', 'Si0+', 'Si0+']","['Si4-', 'Si4-', 'Si4-']","['Te2-', 'Te2-', 'Te2-']","['W0+', 'W0+', 'W0+']"
0,-16.79620766021999,-7.27128300024721,-26.475195031356023,-25.150868249456963,-12.686217125801386,11.753034299770338,11.981429024134078,-2.3879908869979274,18.751432705386073,16.057480177382935,15.554230181572624,-0.6442651125729947,17.767971194170688,-20.791509459274145,8.586505091772242,-14.241110298098313,-26.138284026114654,17.655235823796612,2.3767698262699337,14.524681328675,-17.486705522953738,-7.292073722631651,-5.570353337244333,-11.135555072734347,-19.30232463975995,-5.809808553947386,-5.734007961419652,14.199297059470874,-9.378050036139145,-13.809723788249132,-2.1274971355235532,-3.1352870580761025,-6.6978788965339815,-14.97877201473481
1,-16.79582872682505,-7.256975399032628,-26.475549508581697,-25.15122272668014,,11.752941441832261,11.982031514516182,-2.382406440028185,,16.058786525067223,15.551326872613874,0.06271945496387915,17.767466328651842,-20.786553959241964,8.579058607451037,-14.242460028807937,-26.138626148319286,17.655235823796612,2.376060843712235,24.668713835166667,-17.748427745210822,-7.233185467548743,-5.5706695243306115,-10.969875800732835,-19.243871993601537,-5.8107946509251605,-5.719846630676881,14.157031919532926,-9.353946340794952,-13.812205219800191,-2.1274971355235532,-3.1168561488395574,-7.194320447023265,-14.962807585082242
2,-17.885246490955765,-7.263604183183153,4.530559522531026,-8.558498146528681,,11.753089743843237,16.37130558392274,-2.3881899725920253,,16.059594864707538,15.554875290687605,0.06234730048092441,17.767372799683518,-7.077884254756882,,-12.288185441373932,,,,-16.508065547814855,-17.748427745210822,-7.224717222034589,-5.570175000302424,-10.978536547266406,-19.30148823032455,-5.777235787938576,-5.734146137453925,14.161359180802256,-9.374741078043737,-13.68601121840079,,-3.1338541213022633,9.15277758066629,-12.953162563495715
3,-17.88533646023137,-7.280676349975722,4.530775987813098,-8.554244419828128,,11.752820950380073,16.344004549326375,-2.3825836794969604,,16.06083315033715,15.55515591449192,-0.9640696231973623,17.767907982874533,-7.072882679901544,,-12.305023538525239,,,,-11.220109164053087,-17.477053357406437,-7.286844000332287,-5.57051014767169,-10.932832360678445,-19.243667197259416,-5.77783408921025,-5.719702332281036,14.163008337227664,-9.363161623753587,-13.687074668438278,,-3.117496324983594,,-12.970983850041222
4,-17.262715302376225,-7.266657206766004,4.5304428663435585,-8.551054124800554,,11.231100451732576,11.941680937766854,,,,15.554230181572624,1.828487191249146,17.772099324887893,-7.090953983855448,,13.273116483797892,,,,24.668713835166667,,-7.7524329168137385,-4.750869488385405,-11.133664169650098,-19.24288186859059,-5.06564166944313,-4.966047940033362,14.161045833170308,-9.376868441634404,-14.308473214447915,,-3.1352870580761025,,
5,-17.2622210793097,-7.263978181633169,4.5311350250732145,-8.561333954548395,,11.221820144514556,11.941667537232577,,,,15.551326872613874,1.8251514946793201,17.77231992720104,-7.07279681630542,,13.320395376726854,,,,-16.508065547814855,,-7.770041778293712,-4.7507743639461975,-10.969762574363418,-19.24444923663309,-5.0667939879424475,-4.964409621555463,14.19929685651517,-9.354182200552309,-14.30882770392444,,-3.1168561488395574,,
6,-17.341460927418982,-7.235088023209351,-26.893832634880436,-25.169300931962333,,11.248499730740196,,,,,15.554875290687605,-0.7019419859904172,17.77327657589013,-13.5791209480178,,13.421881390460824,,,,-11.220109164053087,,-7.755628398913334,-4.750773716512955,-10.93176776023223,-19.30148823032455,-5.071351325719498,-13.6968902660429,,-9.362807182112322,,,-3.1338541213022633,,
7,-17.34145453098057,-7.245278689850866,-26.89347815765476,-25.16788302638805,,11.215069565794419,,,,,15.55515591449192,-0.702441354277923,17.771773912109747,-13.567610567595272,,13.375457521484593,,,,14.524681328675,,-7.773953831539918,-4.750327911464844,-10.977594826897962,-19.300712226797767,-5.057563860096273,-13.695356497669527,,-9.375686457885834,,,-3.117496324983594,,
8,-17.26273910370544,0.6583246332151587,,-24.274245940579114,,13.57385855032113,,,,,,-6.525385390586471,,-13.57821697073997,,13.343116117968263,,,,14.524681328675,,-6.420796138517402,-4.750688991072654,13.239106894185396,-18.72891479264797,-5.063657458200278,-13.730714871641693,,-6.244525003790842,,,-3.1352870580761025,,
9,-17.34131741714788,0.6609658978561576,,-24.27389146680444,,13.57364262606319,,,,,,-6.5255839300438785,,-13.5698765190013,,-8.34614850218278,,,,,,-6.420407588405418,-4.750848959840043,-15.745846345263725,-18.729110605191796,-5.070418378101819,-13.728873388456474,,-6.304662589313187,,,-3.1168561488395574,,
10,-17.341279394878566,-7.246843417007952,,-8.558498146528681,,13.570100121032615,,,,,,0.24034356634303722,,-7.064258326892926,,13.392938281406861,,,,,,-6.420427133654983,-1.5146871854815047,-20.929818281524042,-19.81694616607984,-5.074716927112804,-4.990769256823905,,-6.233957512067007,,,-3.1338541213022633,,
11,-17.262715302376225,-7.265771628453529,,-8.554244419828128,,13.572260918228537,,,,,,0.2410109120032586,,-7.08108520822883,,13.380153093712538,,,,,,-6.420107928962409,-5.467442608178232,-8.411670139652724,-19.81723229568787,-5.055328024899131,-4.990041006880677,,-6.2947632862273455,,,-3.117496324983594,,
12,,-7.262999399458961,,-8.551054124800554,,-13.238238223867585,,,,,,0.06365386889400937,,-7.063966128803103,,13.336156341524614,,,,,,6.4468264165494595,-5.455033546466767,13.238841850270624,-22.09988263868886,7.783132291104984,-13.630536360117533,,-10.619436952866392,,,-12.530663608388064,,
13,,-7.235248652150841,,-8.561333954548395,,-13.231190158951742,,,,,,0.06303520975675705,,-7.08903536083857,,-8.293740654273169,,,,,,6.4464018008382595,-5.502179636409448,-8.412131388541543,-22.09988265625476,7.783996682453067,-13.62835645019285,,-6.248254099439609,,,-12.53401687030711,,
14,,-7.413723766293082,,-25.169300931962333,,-13.231930399281515,,,,,,-6.600712891611384,,-9.880713453984612,,-8.34558506020166,,,,,,6.446834608270745,-5.477162591293607,-20.930183526267374,-22.099528192732606,7.78329654502418,-8.693010075856378,,-6.301357641324483,,,,,
15,,-7.413688375806529,,-25.16788302638805,,-13.238157471032165,,,,,,-6.583429488171341,,-9.876932235790843,,-8.29366820159911,,,,,,6.446949579367612,-5.471067769864784,-15.746015105558588,-22.09988263868906,7.784616212845553,-8.691705946646328,,-6.284332270143961,,,,,
16,,-7.413269489552435,,-24.274245940579114,,10.267502445932797,,,,,,,,-9.877521847870709,,,,,,,,-7.411557612857731,-5.472962676749538,,-22.09988263868886,7.779780607313996,-5.89237547890505,,-6.300597210234096,,,,,
17,,-7.413552393604934,,-24.27389146680444,,10.268047373104931,,,,,,,,-9.875274102779121,,,,,,,,-7.396418424748898,-12.342890566926872,,-22.09988265625476,7.78664386796735,-5.856790903970586,,-6.289616698597212,,,,,
18,,-7.413449094319044,,-23.556784035914212,,10.260592134381051,,,,,,,,-9.880950735264607,,,,,,,,-7.403741454989613,-10.440762675638428,,-22.099528192732606,7.785729872222108,-5.874408430242124,,-6.258504562760645,,,,,
19,,-7.412917261627574,,-23.55572060423733,,10.26015011167662,,,,,,,,-9.876933073384274,,,,,,,,-7.417326751210352,-31.215994281907516,,-22.09988263868906,7.781889689245012,-5.885044091296896,,-10.61908823909865,,,,,
20,,-7.413390135838343,,-23.229247079438906,,11.624410100184663,,,,,,,,-9.874565551437017,,,,,,,,-4.388428829689521,-31.212450835575805,,-22.09988263868886,,-5.890009979286203,,-10.665168178339293,,,,,
21,,-7.413902674133436,,-23.237045582007646,,11.626321076947981,,,,,,,,-9.875982586428034,,,,,,,,-4.3900825014485605,-31.212869250593958,,-22.09988265625476,,-5.855609319592023,,-6.2396875854793015,,,,,
22,,0.8843620687200914,,-22.175386287672932,,-7.737889666123461,,,,,,,,-21.97758982931962,,,,,,,,-4.388546268112083,-31.211394902777997,,-22.099528192732606,,-5.887056591551308,,-10.674023324200252,,,,,
23,,0.8849243359011045,,-22.17467733322166,,-7.7466537374874385,,,,,,,,-21.97758982931962,,,,,,,,-4.390319696497289,-10.76450736171827,,-22.09988263868906,,-5.876534319172078,,-6.253723771606907,,,,,
24,,-7.413451534508542,,-25.120383074818925,,-7.736374554101519,,,,,,,,,,,,,,,,-4.38760319630864,-10.729023196530594,,,,-5.3709358122076365,,-12.508083492390496,,,,,
25,,-7.41331258453602,,-25.11825621146486,,-7.727234025623517,,,,,,,,,,,,,,,,-4.389137161032732,-11.554347990470562,,,,-5.367562247729887,,-12.487170141259636,,,,,
26,,-7.413134088799537,,-23.37564617003724,,-7.111918967886577,,,,,,,,,,,,,,,,-4.390555184173022,-11.539836107864927,,,,-5.369429371878755,,-12.492133151050865,,,,,
27,,-7.413102422022678,,-23.37564617003724,,-7.110579088045787,,,,,,,,,,,,,,,,-4.389373610693003,-1.5146871854815047,,,,-5.363460037259821,,-12.50418776260361,,,,,
28,,-7.457572546225954,,-25.150868249456963,,13.803528107266546,,,,,,,,,,,,,,,,-6.3243553910856285,-8.997224805516591,,,,-5.370302340446208,,-6.504442424763564,,,,,
29,,-7.4574723158930745,,-25.15122272668014,,13.803875926373767,,,,,,,,,,,,,,,,-6.32390025566917,-8.998448087646711,,,,-5.367639819556203,,-6.501094684286229,,,,,
30,,-7.45745566929091,,-22.81202739589946,,13.80308205850373,,,,,,,,,,,,,,,,-6.324283889525753,-12.341844754258474,,,,-5.369322226492328,,-6.504339756703854,,,,,
31,,-7.4573618525701635,,-22.810963956878453,,13.802273978002072,,,,,,,,,,,,,,,,-6.324041847104592,-10.440762675638428,,,,-5.36274491149011,,-6.504632527743017,,,,,
32,,-7.457622405356786,,-23.85596316548924,,14.327589473203723,,,,,,,,,,,,,,,,-7.5803659076100605,-31.590703421831254,,,,8.707619678497167,,-6.502416400934198,,,,,
33,,-7.457290986135482,,-23.855253884471082,,14.328924805868642,,,,,,,,,,,,,,,,-7.578972642234905,-31.605525790479025,,,,8.703240917181894,,-6.5030717726199745,,,,,
34,,-7.457601761321363,,-6.60932827634927,,14.327427737364328,,,,,,,,,,,,,,,,-7.585228291102992,-31.590171556136113,,,,8.704784349078018,,-6.504254799972281,,,,,
35,,-7.456780850446133,,-6.60932827634927,,14.32766221141092,,,,,,,,,,,,,,,,-7.586982678644459,-31.60470611566689,,,,8.704404535437178,,-6.503419451705858,,,,,
36,,1.3532748564676795,,-6.60932827634927,,14.111040329003915,,,,,,,,,,,,,,,,-8.01401021810159,-31.52943292651681,,,,8.708453424527653,,-6.505427890086821,,,,,
37,,1.3532524672125483,,,,14.109284497276558,,,,,,,,,,,,,,,,-8.014531455818268,-31.521244631529274,,,,8.703631792362142,,-6.500435313122751,,,,,
38,,-7.457718050332725,,,,14.109807812858683,,,,,,,,,,,,,,,,-8.650764390218491,-31.5248861853208,,,,8.705190146593235,,-6.503246057290346,,,,,
39,,-7.4575124842138605,,,,14.113267582904843,,,,,,,,,,,,,,,,-8.650048541921914,-31.522809003402205,,,,8.704526109061433,,-6.503552506118531,,,,,
40,,-7.45727110609769,,,,10.889938104725381,,,,,,,,,,,,,,,,-5.282786899540081,,,,,,,14.19195528490967,,,,,
41,,-7.457461701147672,,,,10.785655395033702,,,,,,,,,,,,,,,,-5.282193129431815,,,,,,,14.191955444457312,,,,,
42,,-7.453864963888636,,,,10.802738834912432,,,,,,,,,,,,,,,,-10.701921962377336,,,,,,,14.345131359013438,,,,,
43,,-7.453056441927357,,,,10.937312466259097,,,,,,,,,,,,,,,,-10.703021173680225,,,,,,,14.345395818452618,,,,,
44,,-7.453229592327825,,,,-13.712039269722094,,,,,,,,,,,,,,,,-7.484375825496853,,,,,,,9.871055209310644,,,,,
45,,-7.453636035438487,,,,-13.709074205652286,,,,,,,,,,,,,,,,-7.4920611637644,,,,,,,9.870491588245674,,,,,
46,,-7.453884712799964,,,,-13.711967910831847,,,,,,,,,,,,,,,,-7.496746599802586,,,,,,,11.295941261516804,,,,,
47,,-7.453982681113653,,,,-13.70908710779039,,,,,,,,,,,,,,,,-7.4890616963396175,,,,,,,11.29684729215843,,,,,
48,,-7.453044563421164,,,,-10.866325950907637,,,,,,,,,,,,,,,,-7.570601715189301,,,,,,,11.296119737951567,,,,,
49,,-7.453224885763847,,,,-3.599764695558712,,,,,,,,,,,,,,,,-7.549575013388924,,,,,,,11.296554801436852,,,,,
50,,0.9346782976308377,,,,-3.6999606411612733,,,,,,,,,,,,,,,,-7.547974494034027,,,,,,,12.188158189061769,,,,,
51,,0.9349728937730474,,,,-3.6343910772805654,,,,,,,,,,,,,,,,-7.569119465333488,,,,,,,12.189386648291014,,,,,
52,,-7.453106313794771,,,,-10.839009806090342,,,,,,,,,,,,,,,,-7.659394849803881,,,,,,,12.188491258198614,,,,,
53,,-7.45334669295946,,,,-3.7033334659366703,,,,,,,,,,,,,,,,-7.657477508884821,,,,,,,12.189426246642778,,,,,
54,,-7.453729732418938,,,,-3.6116766057715037,,,,,,,,,,,,,,,,-7.665247851688269,,,,,,,12.016404873653054,,,,,
55,,-7.453486890207994,,,,-3.6153351724778773,,,,,,,,,,,,,,,,-7.666806886288935,,,,,,,12.015592279299357,,,,,
56,,-7.468397545294515,,,,-3.702374197456031,,,,,,,,,,,,,,,,-7.199588745857209,,,,,,,12.016959820056503,,,,,
57,,-7.468477126513183,,,,-3.68581428173545,,,,,,,,,,,,,,,,-7.204278884850017,,,,,,,12.015683226183876,,,,,
58,,-7.467849669417151,,,,-10.811648026030474,,,,,,,,,,,,,,,,-7.195800753475497,,,,,,,-12.672009667449132,,,,,
59,,-7.468286121562462,,,,-10.772001689736621,,,,,,,,,,,,,,,,-7.19446247787021,,,,,,,-12.673042207630216,,,,,
60,,-7.46824386626946,,,,12.87922130533327,,,,,,,,,,,,,,,,-7.176560241169118,,,,,,,-12.672190270081593,,,,,
61,,-7.468373066543939,,,,12.88458140693322,,,,,,,,,,,,,,,,-7.219775738408875,,,,,,,-12.67318200365655,,,,,
62,,-7.4685057521387535,,,,12.878156597461853,,,,,,,,,,,,,,,,-7.204702838201097,,,,,,,,,,,,
63,,-7.468269509565415,,,,12.87771984765241,,,,,,,,,,,,,,,,-7.155501522806231,,,,,,,,,,,,
64,,1.1298919143236323,,,,12.878574328809012,,,,,,,,,,,,,,,,-7.294724956927751,,,,,,,,,,,,
65,,1.1303620574036424,,,,12.882411541351248,,,,,,,,,,,,,,,,-7.299781346581072,,,,,,,,,,,,
66,,-7.468070043029771,,,,7.859294710764576,,,,,,,,,,,,,,,,-7.296523467902785,,,,,,,,,,,,
67,,-7.468611695360704,,,,7.854846604995765,,,,,,,,,,,,,,,,-7.301933927944816,,,,,,,,,,,,
68,,-7.4686338185487635,,,,-8.311427510446183,,,,,,,,,,,,,,,,-12.10870165872092,,,,,,,,,,,,
69,,-7.468536688725321,,,,-8.307528389637625,,,,,,,,,,,,,,,,-12.116117452118358,,,,,,,,,,,,
70,,-6.872242908065288,,,,9.959634827699302,,,,,,,,,,,,,,,,-12.117686323366563,,,,,,,,,,,,
71,,-6.874644363810238,,,,9.954802920765818,,,,,,,,,,,,,,,,-12.116689732429691,,,,,,,,,,,,
72,,-6.873647650280856,,,,-8.371688660025226,,,,,,,,,,,,,,,,-12.114681413997541,,,,,,,,,,,,
73,,-6.87194046786129,,,,-8.368498409539535,,,,,,,,,,,,,,,,-12.110781274654332,,,,,,,,,,,,
74,,-6.8738000157631,,,,9.935645200279547,,,,,,,,,,,,,,,,-11.936637092171743,,,,,,,,,,,,
75,,-6.875170848660863,,,,9.930280386460216,,,,,,,,,,,,,,,,-7.746703005489282,,,,,,,,,,,,
76,,-6.873035180779628,,,,7.671650555188112,,,,,,,,,,,,,,,,-5.854298061186805,,,,,,,,,,,,
77,,-6.874538898655704,,,,7.6696136502098655,,,,,,,,,,,,,,,,-11.954395436850225,,,,,,,,,,,,
78,,0.030312660110216796,,,,8.012392549942936,,,,,,,,,,,,,,,,-7.753224935986448,,,,,,,,,,,,
79,,0.030557759665040034,,,,8.012499608039825,,,,,,,,,,,,,,,,-6.032218827764419,,,,,,,,,,,,
80,,-6.8746749908612195,,,,8.012290265988483,,,,,,,,,,,,,,,,-6.0338622240570245,,,,,,,,,,,,
81,,-6.874792158202451,,,,8.013422448814026,,,,,,,,,,,,,,,,-5.868669311635495,,,,,,,,,,,,
82,,-6.8729505984680275,,,,-10.107047721479805,,,,,,,,,,,,,,,,-5.299298437906804,,,,,,,,,,,,
83,,-6.87398751089068,,,,-10.097375552890165,,,,,,,,,,,,,,,,-7.42282553701297,,,,,,,,,,,,
84,,-7.425913498638092,,,,-10.106439305469651,,,,,,,,,,,,,,,,-8.520678408412058,,,,,,,,,,,,
85,,-7.423291289277628,,,,-10.098062360312372,,,,,,,,,,,,,,,,-5.299380965887836,,,,,,,,,,,,
86,,-7.424202894453887,,,,8.71696150437222,,,,,,,,,,,,,,,,-7.422911049346669,,,,,,,,,,,,
87,,-7.425912967158483,,,,8.7175162829443,,,,,,,,,,,,,,,,-11.453204350461883,,,,,,,,,,,,
88,,-7.425715564768195,,,,8.717448534281214,,,,,,,,,,,,,,,,-8.5206930489295,,,,,,,,,,,,
89,,-7.425424153448656,,,,8.717588669752057,,,,,,,,,,,,,,,,-11.453632146225212,,,,,,,,,,,,
90,,-7.4268402462098235,,,,7.952194797989502,,,,,,,,,,,,,,,,-7.706321509997725,,,,,,,,,,,,
91,,-7.426699269263933,,,,7.953379518225512,,,,,,,,,,,,,,,,-7.696657518951642,,,,,,,,,,,,
92,,1.3148677154195931,,,,7.952594815936367,,,,,,,,,,,,,,,,-7.699227742072736,,,,,,,,,,,,
93,,1.3143620910980356,,,,7.9539232089449685,,,,,,,,,,,,,,,,-7.703752129182075,,,,,,,,,,,,
94,,-7.425718934288065,,,,-9.827406126306727,,,,,,,,,,,,,,,,-7.340217344504873,,,,,,,,,,,,
95,,-7.4249554079425915,,,,-9.819168772545677,,,,,,,,,,,,,,,,-7.341654942966657,,,,,,,,,,,,
96,,-7.4260487770127925,,,,-9.82826727822473,,,,,,,,,,,,,,,,-7.33411518452552,,,,,,,,,,,,
97,,-7.424347306106756,,,,-9.82016755063423,,,,,,,,,,,,,,,,-7.335285237906455,,,,,,,,,,,,
98,,-7.371122590658712,,,,8.608327961395267,,,,,,,,,,,,,,,,-7.413651783670026,,,,,,,,,,,,
99,,-7.372885333238287,,,,8.611499286252648,,,,,,,,,,,,,,,,-7.4455979193343165,,,,,,,,,,,,
100,,-7.370210409606488,,,,8.60831915086132,,,,,,,,,,,,,,,,-7.448025215639258,,,,,,,,,,,,
101,,-7.372091350233719,,,,8.610943646042765,,,,,,,,,,,,,,,,-7.417017945016484,,,,,,,,,,,,
102,,-7.373290819059001,,,,,,,,,,,,,,,,,,,,-7.849908128267618,,,,,,,,,,,,
103,,-7.370045116153667,,,,,,,,,,,,,,,,,,,,-6.45377056144184,,,,,,,,,,,,
104,,-7.370722868997862,,,,,,,,,,,,,,,,,,,,-7.460690719193635,,,,,,,,,,,,
105,,-7.371290183414188,,,,,,,,,,,,,,,,,,,,-5.455806692000409,,,,,,,,,,,,
106,,1.6137058627034513,,,,,,,,,,,,,,,,,,,,-6.5011532655284725,,,,,,,,,,,,
107,,1.6152481235885479,,,,,,,,,,,,,,,,,,,,-7.482650621512132,,,,,,,,,,,,
108,,-7.371309932840194,,,,,,,,,,,,,,,,,,,,-6.473403389835839,,,,,,,,,,,,
109,,-7.372386177451144,,,,,,,,,,,,,,,,,,,,-6.4680285107195115,,,,,,,,,,,,
110,,-7.369707100867932,,,,,,,,,,,,,,,,,,,,-6.47029558043336,,,,,,,,,,,,
111,,-7.370779758583128,,,,,,,,,,,,,,,,,,,,-6.47140293469293,,,,,,,,,,,,
112,,-7.42451697850463,,,,,,,,,,,,,,,,,,,,-7.291097290927198,,,,,,,,,,,,
113,,-7.421834721990693,,,,,,,,,,,,,,,,,,,,-7.303155531319693,,,,,,,,,,,,
114,,-7.421964411808624,,,,,,,,,,,,,,,,,,,,-7.297978553198702,,,,,,,,,,,,
115,,-7.425217645817845,,,,,,,,,,,,,,,,,,,,-7.285440619721328,,,,,,,,,,,,
116,,-7.421963887889169,,,,,,,,,,,,,,,,,,,,-7.621224846408717,,,,,,,,,,,,
117,,-7.422506994568782,,,,,,,,,,,,,,,,,,,,-7.621224846408717,,,,,,,,,,,,
118,,-7.4204072660374125,,,,,,,,,,,,,,,,,,,,-8.831916256519218,,,,,,,,,,,,
119,,-7.425590386698301,,,,,,,,,,,,,,,,,,,,-8.831529677879944,,,,,,,,,,,,
120,,1.6120364433110312,,,,,,,,,,,,,,,,,,,,-11.741465008915613,,,,,,,,,,,,
121,,1.6159638699334624,,,,,,,,,,,,,,,,,,,,-11.741720539390785,,,,,,,,,,,,
122,,-7.424859301150638,,,,,,,,,,,,,,,,,,,,-6.059055569613999,,,,,,,,,,,,
