,"['As3-', 'As3-', 'As3-']","['Au0+', 'Au0+', 'Au0+']","['C0+', 'C0+', 'C0+']","['C4-', 'C4-', 'C4-']","['Cl0+', 'Cl0+', 'Cl0+']","['Co0+', 'Co0+', 'Co0+']","['Co0+', 'Co0+', 'Cu0+']","['Cu0+', 'Cu0+', 'Cu0+']","['F-', 'F-', 'F-']","['Fe0+', 'Fe0+', 'Fe0+']","['Fe0+', 'Fe0+', 'Si0+']","['Ge0+', 'Ge0+', 'Ge0+']","['H+', 'N3-', 'N3-']","['Ir0+', 'Ir0+', 'Ir0+']","['Mn0+', 'Ni0+', 'Ni0+']","['Mo0+', 'Mo0+', 'Mo0+']","['N2.6-', 'N2.6-', 'N2.6-']","['N2.6-', 'N2.6-', 'O2-']","['N3-', 'N3-', 'N3-']","['N3-', 'N3-', 'O2-']","['N3-', 'O2-', 'O2-']","['Ni0+', 'Ni0+', 'Ni0+']","['O2-', 'O2-', 'O2-']","['Os0+', 'Os0+', 'Os0+']","['P3-', 'P3-', 'P3-']","['Pd0+', 'Pd0+', 'Pd0+']","['Pt0+', 'Pt0+', 'Pt0+']","['Rh0+', 'Rh0+', 'Rh0+']","['Ru0+', 'Ru0+', 'Ru0+']","['Sb3-', 'Sb3-', 'Sb3-']","['Si0+', 'Si0+', 'Si0+']","['Si4-', 'Si4-', 'Si4-']","['Te2-', 'Te2-', 'Te2-']","['W0+', 'W0+', 'W0+']"
0,487.8043129999998,346.68516033333344,357.3954386666666,307.8032963333334,354.2604483333334,418.45186400000017,416.3239743333333,404.7634866666667,282.26005100000003,489.3590523333335,374.94802766666663,626.175846,374.7146459999999,775.1044853333333,-5.844300000000051,518.6485886666669,344.9336926666667,292.95825599999984,160.99880000000005,321.4216103333333,307.73264866666665,359.7794453333333,290.72702533333336,1069.4316213333334,482.23365733333344,1304.7807473333335,455.52309966666644,398.1308006666668,581.0512233333334,564.8394173333332,-643.9761593333329,139.97113266666665,373.5873186666666,523.8669666666668
1,487.8086943333333,352.20272299999993,357.06313933333337,352.36349433333345,,420.2192796666668,411.24458666666663,178.31602933333326,,487.2716403333332,293.4800726666668,586.68244,374.7310093333333,748.6880463333331,-261.11599233333317,536.8439316666665,344.9337846666665,292.954447,160.95201433333327,300.03365766666667,287.5279246666667,371.91914833333334,290.73264133333333,1091.9579613333328,482.4422733333333,-23.718844666666428,455.8507350000002,443.045413,580.5151586666667,564.8350013333333,-643.9864513333335,-26.333647333333488,338.4669056666667,521.4302526666669
2,487.7706619999999,349.6963306666668,340.9526876666666,462.4551856666667,,418.03162999999995,358.47663599999987,381.05873599999995,,489.15003266666645,376.55916300000007,585.5816146666666,374.77822799999996,417.6970863333333,,503.5053653333334,,,,309.6092276666665,287.5280943333333,346.6531596666667,290.7362400000001,1060.2628489999997,482.29426399999994,1190.1695023333343,470.35137633333323,435.5692016666667,581.1338373333333,588.4106563333332,,153.03414633333333,321.1205896666668,500.7771906666665
3,487.7531806666666,350.34273833333333,340.93832799999996,325.9652539999999,,420.3916583333335,358.3631083333332,170.81591466666654,,488.1530660000001,292.75705999999997,445.56095866666664,374.7409596666668,339.2160310000001,,515.9652336666668,,,,286.3868826666669,307.6858403333332,345.2143573333333,290.73749266666664,1089.5438366666667,482.3448299999998,-1728.8195920000005,468.5862003333334,437.2223196666667,581.1262450000003,588.4244086666667,,-40.48548533333318,,484.70521966666684
4,506.11432033333335,345.01469233333347,340.9544970000001,485.3038983333334,,298.1810769999999,410.3694796666668,,,,374.94566766666685,130.69680499999993,374.7955416666667,425.8510026666666,,498.0241356666667,,,,300.03486,,205.23123066666665,284.53489499999984,1061.0944,482.45698366666676,424.6117566666667,218.8986310000001,442.91381166666685,581.0691039999998,567.9379729999999,,139.93330533333324,,
5,506.2590883333335,344.06757933333347,340.936861,322.0784236666667,,300.9635293333333,415.8290733333333,,,,293.482337,72.28146666666653,374.89536233333337,382.54380333333347,,505.7617083333333,,,,309.6102673333333,,251.40240400000002,284.55575766666647,1092.5495389999999,482.3551313333335,573.0810883333334,221.05266733333323,402.8103006666667,580.5218876666668,567.9315433333335,,-26.31142866666706,,
6,504.6868919999998,346.83785966666665,329.47560000000004,313.7149093333334,,301.47447699999987,,,,,376.5557493333335,598.0053363333332,374.8119516666668,359.1089113333332,,497.2035273333333,,,,286.3867183333332,,233.9492880000001,284.54655333333335,1082.7227220000002,482.2339156666667,611.0873163333332,628.1269603333332,,581.1261826666668,,,152.96881033333327,,
7,504.825879,352.41480399999983,329.8941726666667,334.9000623333333,,296.28526766666664,,,,,292.7605493333333,599.2480046666668,374.85154199999994,393.1106280000001,,520.2539423333333,,,,321.4216103333333,,234.27784266666663,284.53189500000013,1061.8499066666668,482.27206466666667,473.9049443333333,620.7537309999999,,581.1366316666667,,,-40.42476900000012,,
8,506.2584733333336,530.1099456666667,,328.572476,,140.5367509999999,,,,,,1133.6589170000004,,351.58168833333343,,518.118202,,,,321.4216103333333,,341.2296266666668,284.53354133333335,503.5095333333332,472.3543156666667,640.4514533333333,517.7604069999999,,987.5129506666668,,,140.0194906666666,,
9,504.88762766666673,529.6738486666666,,328.5557469999998,,132.73142633333327,,,,,,1203.2390853333327,,367.6096956666668,,466.689546,,,,,,329.196447,284.541817,746.4888060000003,472.3725476666666,506.772625,528.3443113333333,,1035.5906280000002,,,-26.406127999999967,,
