,"['Al0+', 'Al0+', 'Os0+', 'Ru0+']","['Al0+', 'Mg0+', 'Mg0+', 'Mg0+']","['Al0+', 'Te0+', 'Te0+', 'Te0+']","['As2.66666667-', 'As2.66666667-', 'As2.66666667-', 'As2.66666667-']","['As3-', 'As3-', 'As3-', 'As3-']","['Au0+', 'Au0+', 'Au0+', 'Au0+']","['Au0+', 'Au0+', 'Au0+', 'Ge0+']","['Au0+', 'Au0+', 'Au0+', 'Si0+']","['Au0+', 'Ge0+', 'Ge0+', 'Ge0+']","['Au0+', 'Si0+', 'Si0+', 'Si0+']","['B0+', 'B0+', 'B0+', 'B0+']","['Bi0+', 'Bi0+', 'Bi0+', 'Bi0+']","['Bi0+', 'Cl0+', 'Cl0+', 'Cl0+']","['Br-', 'Br-', 'Br-', 'Br-']","['Br-', 'Br-', 'Br-', 'S0+']","['Br0+', 'Br0+', 'Br0+', 'Br0+']","['Br0+', 'Br0+', 'Br0+', 'N-']","['Br0.14285714-', 'Br0.14285714-', 'Br0.14285714-', 'Br0.14285714-']","['C-', 'N3-', 'N3-', 'N3-']","['C-', 'N3-', 'N3-', 'O2-']","['C0+', 'C0+', 'C0+', 'C0+']","['C0+', 'C0+', 'O0+', 'O0+']","['C4-', 'C4-', 'C4-', 'C4-']","['C4-', 'C4-', 'C4-', 'N3-']","['C4-', 'C4-', 'C4-', 'O2-']","['C4-', 'C4-', 'N3-', 'N3-']","['C4-', 'C4-', 'O2-', 'O2-']","['C4-', 'C4-', 'P3-', 'P3-']","['C4-', 'N3-', 'N3-', 'N3-']","['C4-', 'O2-', 'O2-', 'O2-']","['Cl-', 'Cl-', 'Cl-', 'Cl-']","['Cl-', 'Cl-', 'Cl-', 'N3-']","['Cl-', 'Cl-', 'Cl-', 'O2-']","['Cl-', 'Cl-', 'N3-', 'N3-']","['Cl-', 'Cl-', 'O2-', 'O2-']","['Cl0+', 'Cl0+', 'Cl0+', 'Cl0+']","['Co0+', 'Co0+', 'Co0+', 'Co0+']","['Co0+', 'Co0+', 'Co0+', 'Cu0+']","['Cs0+', 'Cs0+', 'Cs0+', 'Cs0+']","['Cu0+', 'Cu0+', 'Cu0+', 'Cu0+']","['Dy0+', 'Dy0+', 'Dy0+', 'Dy0+']","['F-', 'F-', 'F-', 'F-']","['F-', 'F-', 'F-', 'O2-']","['F-', 'O2-', 'O2-', 'O2-']","['Fe0+', 'Fe0+', 'Fe0+', 'Fe0+']","['Fe0+', 'Si0+', 'Si0+', 'Si0+']","['Ga0+', 'Ga0+', 'Ga0+', 'Ga0+']","['Ge0+', 'Ge0+', 'Ge0+', 'Ge0+']","['Ge0+', 'Ge0+', 'Ge0+', 'H0+']","['Ge0+', 'Ge0+', 'Ni0+', 'Ni0+']","['H+', 'H+', 'N3-', 'N3-']","['H-', 'H-', 'H-', 'H-']","['H-', 'Si4-', 'Si4-', 'Si4-']","['Hf0+', 'Hf0+', 'Hf0+', 'Hf0+']","['I-', 'I-', 'I-', 'I-']","['I0+', 'I0+', 'I0+', 'I0+']","['I0+', 'Te0+', 'Te0+', 'Te0+']","['Ir0+', 'Ir0+', 'Ir0+', 'Ir0+']","['Ir0+', 'Ir0+', 'Si0+', 'Si0+']","['Li0+', 'Li0+', 'Li0+', 'Li0+']","['Mg0+', 'Mg0+', 'Mg0+', 'Mg0+']","['Mo0+', 'Mo0+', 'Mo0+', 'Mo0+']","['N2.2-', 'N2.2-', 'N2.2-', 'O2-']","['N2.6-', 'N2.6-', 'N2.6-', 'O2-']","['N2.66666667-', 'N2.66666667-', 'N2.66666667-', 'N2.66666667-']","['N2.96666667-', 'N2.96666667-', 'N2.96666667-', 'N2.96666667-']","['N2.96666667-', 'N2.96666667-', 'N2.96666667-', 'O2-']","['N3-', 'N3-', 'N3-', 'N3-']","['N3-', 'N3-', 'N3-', 'O2-']","['N3-', 'N3-', 'O2-', 'O2-']","['N3-', 'O2-', 'O2-', 'O2-']","['Ni0+', 'Ni0+', 'Ni0+', 'Ni0+']","['Ni0+', 'Ni0+', 'Ru0+', 'Ru0+']","['Ni0+', 'Ni0+', 'Yb0+', 'Yb0+']","['O0+', 'O0+', 'O0+', 'O0+']","['O2-', 'O2-', 'O2-', 'O2-']","['Os0+', 'Os0+', 'Os0+', 'Os0+']","['P2.66666667-', 'P2.66666667-', 'P2.66666667-', 'P2.66666667-']","['P3-', 'P3-', 'P3-', 'P3-']","['Pb0+', 'Pb0+', 'Pb0+', 'Pb0+']","['Pd0+', 'Pd0+', 'Pd0+', 'Pd0+']","['Pr0+', 'Pr0+', 'Pr0+', 'Pr0+']","['Pt0+', 'Pt0+', 'Pt0+', 'Pt0+']","['Pt0+', 'Pt0+', 'Pt0+', 'Si0+']","['Pt0+', 'Si0+', 'Si0+', 'Si0+']","['Rh0+', 'Rh0+', 'Rh0+', 'Rh0+']","['Rh0+', 'Rh0+', 'Si0+', 'Si0+']","['Ru0+', 'Ru0+', 'Ru0+', 'Ru0+']","['S2-', 'S2-', 'S2-', 'S2-']","['Sb-', 'Sb-', 'Sb-', 'Sb-']","['Sb2.6-', 'Sb2.6-', 'Sb2.6-', 'Sb2.6-']","['Sb2.66666667-', 'Sb2.66666667-', 'Sb2.66666667-', 'Sb2.66666667-']","['Sb2.81818182-', 'Sb2.81818182-', 'Sb2.81818182-', 'Sb2.81818182-']","['Sb3-', 'Sb3-', 'Sb3-', 'Sb3-']","['Se1.5-', 'Se1.5-', 'Se1.5-', 'Se1.5-']","['Se1.75-', 'Se1.75-', 'Se1.75-', 'Se1.75-']","['Se1.83333333-', 'Se1.83333333-', 'Se1.83333333-', 'Se1.83333333-']","['Se2-', 'Se2-', 'Se2-', 'Se2-']","['Si0+', 'Si0+', 'Si0+', 'Si0+']","['Si4-', 'Si4-', 'Si4-', 'Si4-']","['Sr0+', 'Sr0+', 'Sr0+', 'Sr0+']","['Te0+', 'Te0+', 'Te0+', 'Te0+']","['Te1.2-', 'Te1.2-', 'Te1.2-', 'Te1.2-']","['Te2-', 'Te2-', 'Te2-', 'Te2-']","['W0+', 'W0+', 'W0+', 'W0+']","['Yb0+', 'Yb0+', 'Yb0+', 'Yb0+']","['Zn0+', 'Zn0+', 'Zn0+', 'Zn0+']"
0,678.7227576666663,458.82275333333337,377.2226493333333,377.8147313333334,383.73920566666675,697.6901939999997,360.14372299999985,274.550663,447.57055900000006,1069.7883746666664,241.60001000000008,478.1662953333332,314.7039806666666,361.1459813333334,359.65122866666667,360.20694166666686,348.4344866666664,362.1301516666669,327.3986286666665,320.6638093333333,312.3228123333333,208.8137336666666,264.4767373333334,325.1141629999999,347.21314966666665,290.73195100000004,336.77661733333326,385.6741526666669,291.2060936666667,319.6150599999999,331.1731599999998,324.1705433333334,316.2342643333332,309.54215733333336,308.09983833333314,330.92615199999995,577.9700866666667,468.48352800000004,589.8833466666666,-465.41697866666647,326.9682776666668,239.81597033333333,265.1323466666666,273.5347576666666,573.4958573333332,268.7915533333334,305.64361699999995,527.832519666667,455.8639129999999,70.13296866666667,408.61304366666656,318.87137366666667,478.8815046666667,397.5542720000001,386.879242,391.229687,399.629534,448.62487599999986,407.6068963333332,-45.71953766666669,864.8472113333333,558.0565376666667,310.1495203333333,315.79383533333333,330.9989316666667,305.7293383333334,308.4576796666666,312.0048653333335,300.60409,302.37694999999997,292.73973633333327,464.54800699999987,420.40634433333327,574.9645190000002,260.18024066666663,273.0466046666666,-76.35685300000002,362.5721456666667,382.9717809999999,-53.655132333333334,780.1558456666666,906.1002366666663,423.3563223333337,214.5390433333334,317.9036690000001,391.89636566666667,412.84410166666675,606.8918693333334,334.0090103333334,445.8176496666667,394.0204060000001,386.6444926666668,711.985751,388.14266300000014,153.06004300000004,370.97916533333324,378.23304099999996,367.007662,14.267892333333293,289.4501563333334,-20.34224800000001,387.3474273333333,367.55041433333355,405.64941633333336,621.8636300000001,6548.010961000003,487.24526466666634
1,678.371379,458.78539900000015,377.24259233333333,377.90900733333325,383.74470799999995,703.7606806666672,360.16104966666643,323.6789530000001,447.61120500000015,1117.895361666667,,478.15403199999975,,361.13487700000013,359.65030966666654,360.2060773333335,348.4363116666666,362.1388926666666,327.40698633333335,320.7378563333331,316.038622,,304.93864566666656,325.1053553333333,347.1870383333334,290.73195100000004,343.0419866666668,385.6761593333333,283.7518259999999,319.62138566666664,331.1704259999999,324.19804066666677,316.18793966666675,309.53547,308.1246176666665,330.86655399999995,595.393062,465.6825770000002,589.9596566666665,-349.02625800000095,316.8996293333333,239.81607166666663,265.1347153333332,273.5301636666666,573.6452816666666,232.85398833333338,305.7088060000001,527.9441616666669,,,408.6065160000001,318.86432933333344,426.5176413333333,397.5481303333334,386.8579303333334,390.05084800000003,399.63542133333334,454.0596043333333,408.40946799999983,-75.93859199999997,864.850242333334,558.0529686666665,287.3752636666668,315.79395033333327,331.00947533333357,311.8934243333335,312.6719086666665,311.8870189999999,300.615297,290.85526566666664,292.76364633333327,491.11680099999995,414.3782549999999,654.4915400000003,260.19079633333337,273.04971066666667,-22.29523333333329,344.99231366666663,382.9295256666666,-56.17660300000003,808.6264563333334,927.4097949999997,364.02509833333335,278.3464246666667,271.35722733333336,394.1044443333333,409.15006766666664,606.938217,334.0055260000001,445.8434730000002,394.01784099999986,386.66502033333336,711.9072080000002,388.1252050000001,185.5367013333333,334.08947699999993,356.63424933333334,366.9748466666667,187.73513333333327,288.700972,,387.37594133333323,367.569734,405.65229500000015,481.4278020000003,6236.458921,487.33803700000027
2,,446.7502253333332,377.2589306666667,377.8005946666667,354.452094,116.4332209999999,267.55018066666685,289.37147933333335,246.15630666666664,1171.7568226666672,,478.11875600000036,,361.13935033333337,,360.18210600000015,348.43499299999985,,,320.6796073333333,313.0273766666665,,304.15479499999987,325.2046143333334,343.83709566666676,,336.78192300000006,,308.82557799999995,319.66591566666665,331.17270033333335,324.1815543333333,316.21151966666656,,308.0767346666667,330.9122883333333,587.6856613333335,,589.8833456666667,-284.5801933333334,321.91661300000004,231.94322833333334,,273.53259299999996,,260.05330066666664,1552.030785666667,271.6646636666665,,,,318.8711406666667,396.8496470000002,397.55394100000007,391.6991369999999,390.0516316666667,399.637715,450.7734349999999,407.6328556666665,-51.18409333333333,0.9176889999989726,600.7028316666666,310.1812560000001,,331.005734,313.26084266666663,311.03559799999994,311.98091233333344,302.1029586666668,303.85728566666666,292.76631066666664,463.2984826666666,437.9479956666665,,260.180863,270.6860206666667,-90.73397533333348,344.9736086666667,362.9782123333334,,864.6992520000002,898.8756080000003,449.9355479999999,289.2222006666666,315.88196433333326,385.09488233333326,412.5873796666667,671.7169406666668,334.9835713333334,445.78845399999994,393.9937376666667,386.70052333333325,711.9860020000002,388.1153536666666,147.8426206666666,330.8757920000001,383.39132766666665,381.1088720000002,2881.150446666666,2.52581266666679,,387.3531969999999,,377.2453663333333,519.5087940000002,5586.682124,-465.7054153333326
3,,446.8306720000002,377.27749933333325,377.8809763333333,354.4563183333332,44.50501633333332,268.5439946666668,230.79414733333343,246.92151000000004,1230.9579539999993,,478.0764913333331,,361.13542733333315,,360.18772633333333,348.43439300000017,,,320.72606566666684,317.067287,,262.58998033333336,325.2148123333333,343.81632766666667,,343.0318456666666,,309.20094500000005,319.66646133333325,331.17644633333333,324.20814,316.18917200000004,,308.09308899999996,330.85798,572.0625206666665,,589.9596553333332,-913.0412610000002,319.03392066666663,232.35922566666667,,273.53109766666665,,233.44291333333334,1557.2215946666674,270.17821166666687,,,,318.87103666666667,426.5176413333333,,391.6968546666665,390.05037966666663,399.6397233333333,364.32322066666666,408.40205799999984,-82.06465233333343,-780.4499126666664,539.2745363333337,287.3806703333334,,331.01306533333326,305.7293383333334,308.4576796666666,313.13964333333325,303.1439386666667,303.83917366666657,292.757503,547.5110126666668,,,260.18202199999996,270.6844066666667,-20.317818666666692,362.5830686666668,362.972315,,850.6005269999999,938.0361876666672,514.8920026666666,280.107025,335.189453,500.6315966666668,409.5487183333333,672.0628536666669,334.99131599999987,445.87926033333355,393.99518499999994,386.66081,712.0141020000002,388.1291703333333,104.44750199999994,,380.7250226666667,381.0020456666667,2775.390827333334,547.8513646666668,,387.3468483333333,,377.24398500000007,,,-467.2012843333332
4,,458.8227556666666,383.4541376666666,380.71357600000005,354.4297023333331,83.47944166666655,277.47504666666663,283.97387899999995,316.116803,255.16434133333334,,9784.91151833334,,361.99327700000003,,360.20028766666655,347.57775999999996,,,321.68185999999986,284.19728133333336,,322.65309366666673,338.8663523333333,343.82001999999994,,343.0372843333332,,322.08344266666654,304.00244533333347,329.8476036666667,324.1921353333332,,,308.09983833333314,330.45211066666667,576.4961436666666,,,463.8436236666668,,239.40086033333333,,,,236.84900866666658,-167.99497499999993,729.006314666667,,,,267.651743,478.8815046666667,,391.70371933333325,391.23002900000006,,231.15823566666663,407.2832589999999,,3096.4751636666656,601.0322756666668,310.14951,,,311.8934243333335,312.6719086666665,312.7796396666666,284.40874666666673,303.84953966666666,277.7767783333333,555.9657510000001,,,268.5669296666667,268.7721646666666,-77.65053499999992,,363.7670300000002,,840.2223276666664,935.9025253333335,491.817117,70.70621799999998,231.4984233333333,645.3687669999998,423.6026570000001,490.79186266666676,335.26762833333333,,,374.5804286666667,616.289941,434.4185356666666,,,357.48747999999995,378.990612,3143.646164,333.398354,,387.33078399999994,,399.7647633333333,,,602.9152123333334
5,,458.78540133333337,383.4732246666668,380.7202266666666,354.4421383333333,87.52802000000013,267.8121266666667,249.436722,323.38378199999994,335.0919690000001,,,,361.9847099999999,,360.2280640000001,347.57761899999997,,,321.6823836666667,285.3654996666667,,313.4162033333332,320.74255566666665,343.8077493333333,,336.78179200000017,,324.15783366666653,303.99642766666676,329.8029693333331,324.1909279999998,,,308.1246176666665,330.45041900000024,565.7955250000003,,,465.51939933333347,,239.39691533333334,,,,236.7004900000002,-167.70066233333333,716.3942086666661,,,,267.6518806666667,396.8496470000002,,391.7069796666667,390.05002166666674,,347.18939700000004,407.67884866666674,,-1642.6047509999996,514.1633833333335,287.3728723333333,,,313.26084266666675,311.03559799999994,311.66701966666693,300.2796263333334,303.84731600000015,277.7761550000001,547.2655153333336,,,268.56960366666675,282.9968833333333,-25.725619333333253,,363.7873243333332,,397.2541760000001,917.5199730000003,164.97892466666661,353.28100766666677,260.99775833333325,532.8112926666668,422.3792879999999,593.030211333333,335.2476190000001,,,374.58295866666685,616.249113,434.3593276666666,,,377.98148499999996,381.36348366666675,2897.109725333334,332.5348729999999,,387.3634203333333,,399.8361899999998,,,599.8536730000001
6,,446.7502273333332,383.47744066666684,380.76753733333345,382.8891913333332,326.70465133333335,,274.54509866666666,,1086.6184939999996,,,,361.99498533333343,,,347.584002,,,,285.4271813333333,,322.6493850000001,339.56246766666686,347.21314966666665,,343.04048266666655,,,307.7213523333333,329.8243939999998,324.2051099999999,,,308.0767346666667,330.4408250000001,591.5721383333336,,,267.46411133333334,,240.14904399999992,,,,268.7915533333334,326.5270426666665,726.6843690000002,,,,318.74817933333327,,,390.5285133333332,390.0504633333333,,107.36630500000003,407.2995630000002,,0.9407656666656597,526.2458713333332,310.181895,,,,,314.71401966666673,317.054995,293.13761733333337,278.5108903333333,490.4717056666668,,,268.5664456666664,282.9902380000001,-22.15712066666663,,362.13999166666684,,411.856109,,380.2801343333335,213.83875399999997,317.7140776666667,598.7161263333332,422.89811166666664,565.9041873333332,352.1774746666667,,,374.53442199999995,616.2846996666667,434.40475666666663,,,380.47539333333344,367.02783033333327,186.13057633333335,350.9386083333332,,388.9133946666666,,376.34227266666693,,,
7,,446.83067466666665,383.4789603333333,380.7029013333333,382.9785683333334,328.1084076666667,,324.4432583333333,,1138.6235986666659,,,,361.9987063333335,,,347.58429966666677,,,,283.50301599999995,,313.4490623333333,328.899652,347.1870383333334,,336.7754993333333,,,307.720341,329.7562463333333,324.17997299999996,,,308.09308899999996,330.43699866666674,595.2171866666666,,,161.5694519999999,,240.1465803333334,,,,232.85398833333338,319.5738393333333,720.5149356666666,,,,318.74800233333343,,,390.5078153333334,390.0506933333332,,106.26953499999998,407.69294299999984,,-779.6865856666667,,287.3798790000001,,,,,314.77304,301.70937799999996,304.33413833333327,284.1765463333334,490.8817236666667,,,268.5901666666667,282.7886913333335,-90.16304033333331,,362.11864666666673,,400.8120706666664,,185.3745880000001,279.18733333333336,271.1357310000001,481.1460279999997,422.0107259999998,549.6082056666668,359.96064333333334,,,374.54916766666673,616.2635836666668,434.39198366666665,,,383.2687316666668,367.0299119999998,227.10636333333346,351.43803266666674,,388.91684433333324,,376.34242933333326,,,
8,,,391.2897043333333,388.3873130000001,382.8432136666667,320.8112210000001,,288.06223766666676,,1156.012237666666,,,,357.1901420000001,,,,,,,,,308.56976899999984,325.1141629999999,,,,,,,332.8932029999999,325.9046253333333,,,307.9442249999999,330.4759736666667,479.53657833333335,,,160.86118533333337,,239.85944766666668,,,,260.0533006666667,246.6966133333334,-134.97282666666698,,,,303.52918533333326,,,387.2557983333334,391.23068566666666,,138.06541799999994,,,3096.424892999998,,,,,,,314.7101946666665,301.71236866666646,303.9995669999999,284.18307133333343,490.68482633333343,,,268.5769813333334,282.7783186666666,498.19306999999986,,362.090613,,909.8315433333331,,492.1161383333331,290.86472300000014,316.76530133333335,476.21114533333304,409.55645599999997,572.0945496666666,352.0727503333333,,,429.2015930000002,,415.760696,,,378.24569233333324,348.39531566666665,283.25042233333346,334.23686133333337,,388.88903166666677,,384.0469246666668,,,
9,,,391.27395733333356,388.41172033333334,382.9156460000001,1598.9623363333337,,230.98139433333327,,1214.9003176666672,,,,357.18047899999993,,,,,,,,,308.5714546666664,325.1053553333333,,,,,,,330.29702000000003,327.33655833333324,,,309.786132,330.47476400000005,478.98778366666664,,,268.9963836666666,,239.88840300000007,,,,233.44291333333334,301.7688703333335,-141.3856283333332,,,,303.5296793333332,,,387.23781733333317,390.05120400000004,,133.3278266666667,,,-1643.368056,,,,,,,313.6948653333333,311.36024433333336,278.6668896666667,284.1770959999999,490.58948833333346,,,268.56065699999994,254.2679079999999,498.2959726666668,,362.10849800000005,,1230.5327159999993,,493.2095623333333,277.9834133333333,335.13687166666676,445.2080136666668,410.7192273333333,363.107403,359.9812853333333,,,429.134188,,415.76220500000017,,,357.30824,376.66031066666665,244.56556,334.105379,,388.9121146666668,,384.0516396666665,,,
