,"['Al0+', 'Al0+', 'Os0+', 'Ru0+']","['Al0+', 'Mg0+', 'Mg0+', 'Mg0+']","['Al0+', 'Te0+', 'Te0+', 'Te0+']","['As2.66666667-', 'As2.66666667-', 'As2.66666667-', 'As2.66666667-']","['As3-', 'As3-', 'As3-', 'As3-']","['Au0+', 'Au0+', 'Au0+', 'Au0+']","['Au0+', 'Au0+', 'Au0+', 'Ge0+']","['Au0+', 'Au0+', 'Au0+', 'Si0+']","['Au0+', 'Ge0+', 'Ge0+', 'Ge0+']","['Au0+', 'Si0+', 'Si0+', 'Si0+']","['B0+', 'B0+', 'B0+', 'B0+']","['Bi0+', 'Bi0+', 'Bi0+', 'Bi0+']","['Bi0+', 'Cl0+', 'Cl0+', 'Cl0+']","['Br-', 'Br-', 'Br-', 'Br-']","['Br-', 'Br-', 'Br-', 'S0+']","['Br0+', 'Br0+', 'Br0+', 'Br0+']","['Br0+', 'Br0+', 'Br0+', 'N-']","['Br0.14285714-', 'Br0.14285714-', 'Br0.14285714-', 'Br0.14285714-']","['C-', 'N3-', 'N3-', 'N3-']","['C-', 'N3-', 'N3-', 'O2-']","['C0+', 'C0+', 'C0+', 'C0+']","['C0+', 'C0+', 'O0+', 'O0+']","['C4-', 'C4-', 'C4-', 'C4-']","['C4-', 'C4-', 'C4-', 'N3-']","['C4-', 'C4-', 'C4-', 'O2-']","['C4-', 'C4-', 'N3-', 'N3-']","['C4-', 'C4-', 'O2-', 'O2-']","['C4-', 'C4-', 'P3-', 'P3-']","['C4-', 'N3-', 'N3-', 'N3-']","['C4-', 'O2-', 'O2-', 'O2-']","['Cl-', 'Cl-', 'Cl-', 'Cl-']","['Cl-', 'Cl-', 'Cl-', 'N3-']","['Cl-', 'Cl-', 'Cl-', 'O2-']","['Cl-', 'Cl-', 'N3-', 'N3-']","['Cl-', 'Cl-', 'O2-', 'O2-']","['Cl0+', 'Cl0+', 'Cl0+', 'Cl0+']","['Co0+', 'Co0+', 'Co0+', 'Co0+']","['Co0+', 'Co0+', 'Co0+', 'Cu0+']","['Cs0+', 'Cs0+', 'Cs0+', 'Cs0+']","['Cu0+', 'Cu0+', 'Cu0+', 'Cu0+']","['Dy0+', 'Dy0+', 'Dy0+', 'Dy0+']","['F-', 'F-', 'F-', 'F-']","['F-', 'F-', 'F-', 'O2-']","['F-', 'O2-', 'O2-', 'O2-']","['Fe0+', 'Fe0+', 'Fe0+', 'Fe0+']","['Fe0+', 'Si0+', 'Si0+', 'Si0+']","['Ga0+', 'Ga0+', 'Ga0+', 'Ga0+']","['Ge0+', 'Ge0+', 'Ge0+', 'Ge0+']","['Ge0+', 'Ge0+', 'Ge0+', 'H0+']","['Ge0+', 'Ge0+', 'Ni0+', 'Ni0+']","['H+', 'H+', 'N3-', 'N3-']","['H-', 'H-', 'H-', 'H-']","['H-', 'Si4-', 'Si4-', 'Si4-']","['Hf0+', 'Hf0+', 'Hf0+', 'Hf0+']","['I-', 'I-', 'I-', 'I-']","['I0+', 'I0+', 'I0+', 'I0+']","['I0+', 'Te0+', 'Te0+', 'Te0+']","['Ir0+', 'Ir0+', 'Ir0+', 'Ir0+']","['Ir0+', 'Ir0+', 'Si0+', 'Si0+']","['Li0+', 'Li0+', 'Li0+', 'Li0+']","['Mg0+', 'Mg0+', 'Mg0+', 'Mg0+']","['Mo0+', 'Mo0+', 'Mo0+', 'Mo0+']","['N2.2-', 'N2.2-', 'N2.2-', 'O2-']","['N2.6-', 'N2.6-', 'N2.6-', 'O2-']","['N2.66666667-', 'N2.66666667-', 'N2.66666667-', 'N2.66666667-']","['N2.96666667-', 'N2.96666667-', 'N2.96666667-', 'N2.96666667-']","['N2.96666667-', 'N2.96666667-', 'N2.96666667-', 'O2-']","['N3-', 'N3-', 'N3-', 'N3-']","['N3-', 'N3-', 'N3-', 'O2-']","['N3-', 'N3-', 'O2-', 'O2-']","['N3-', 'O2-', 'O2-', 'O2-']","['Ni0+', 'Ni0+', 'Ni0+', 'Ni0+']","['Ni0+', 'Ni0+', 'Ru0+', 'Ru0+']","['Ni0+', 'Ni0+', 'Yb0+', 'Yb0+']","['O0+', 'O0+', 'O0+', 'O0+']","['O2-', 'O2-', 'O2-', 'O2-']","['Os0+', 'Os0+', 'Os0+', 'Os0+']","['P2.66666667-', 'P2.66666667-', 'P2.66666667-', 'P2.66666667-']","['P3-', 'P3-', 'P3-', 'P3-']","['Pb0+', 'Pb0+', 'Pb0+', 'Pb0+']","['Pd0+', 'Pd0+', 'Pd0+', 'Pd0+']","['Pr0+', 'Pr0+', 'Pr0+', 'Pr0+']","['Pt0+', 'Pt0+', 'Pt0+', 'Pt0+']","['Pt0+', 'Pt0+', 'Pt0+', 'Si0+']","['Pt0+', 'Si0+', 'Si0+', 'Si0+']","['Rh0+', 'Rh0+', 'Rh0+', 'Rh0+']","['Rh0+', 'Rh0+', 'Si0+', 'Si0+']","['Ru0+', 'Ru0+', 'Ru0+', 'Ru0+']","['S2-', 'S2-', 'S2-', 'S2-']","['Sb-', 'Sb-', 'Sb-', 'Sb-']","['Sb2.6-', 'Sb2.6-', 'Sb2.6-', 'Sb2.6-']","['Sb2.66666667-', 'Sb2.66666667-', 'Sb2.66666667-', 'Sb2.66666667-']","['Sb2.81818182-', 'Sb2.81818182-', 'Sb2.81818182-', 'Sb2.81818182-']","['Sb3-', 'Sb3-', 'Sb3-', 'Sb3-']","['Se1.5-', 'Se1.5-', 'Se1.5-', 'Se1.5-']","['Se1.75-', 'Se1.75-', 'Se1.75-', 'Se1.75-']","['Se1.83333333-', 'Se1.83333333-', 'Se1.83333333-', 'Se1.83333333-']","['Se2-', 'Se2-', 'Se2-', 'Se2-']","['Si0+', 'Si0+', 'Si0+', 'Si0+']","['Si4-', 'Si4-', 'Si4-', 'Si4-']","['Sr0+', 'Sr0+', 'Sr0+', 'Sr0+']","['Te0+', 'Te0+', 'Te0+', 'Te0+']","['Te1.2-', 'Te1.2-', 'Te1.2-', 'Te1.2-']","['Te2-', 'Te2-', 'Te2-', 'Te2-']","['W0+', 'W0+', 'W0+', 'W0+']","['Yb0+', 'Yb0+', 'Yb0+', 'Yb0+']","['Zn0+', 'Zn0+', 'Zn0+', 'Zn0+']"
0,0.3655352318841507,0.9178822500496322,0.06845225566062951,0.15132788699497585,0.01431423075528651,0.09912224651293211,0.0007079896641669821,0.0031623004987004367,0.004303410307754572,0.0010432160138050242,,0.08967028561868046,0.37144624744127686,0.1465765837195822,0.012145237431070282,0.3841527830397254,0.5526801331481438,0.9443424348099851,0.7466152201440795,0.790666581200127,5.104255526486782e-08,0.3498889134542832,0.0024618062205675776,0.0,0.00015331285413095494,0.16674367527705905,0.4566745201702939,0.7720791326488533,0.00015206179658072108,0.3938443227235014,0.8556813824096527,0.6533110633680244,0.12129941323772261,0.3107120619216166,0.03311139414408311,0.5833653730184069,0.5187556510956102,0.8043237185052651,0.14907221252642897,0.09186210891748844,0.010825754382185342,0.5504208820606397,0.9923154865883742,0.1780368287407192,0.4272941300167649,0.6910296817284183,0.009739867671245855,0.04070482107819046,0.000516402858839079,0.2031403857638828,0.10310039739294939,0.6395045002259934,8.492569002125978e-05,0.026758814526138687,0.13837847603081088,0.1537402023023592,0.9380835527721125,0.8418946612390189,0.8171174966498875,0.1519675478827911,0.42044734039031156,0.067611186767524,0.9950333258447467,0.44307545694573963,0.35502782051260234,0.14301938436796796,0.4924476036999964,0.7642835617727554,0.14805721065869337,0.9557067853818612,0.09502788611928742,0.5916060441363499,0.23350485704178375,0.2003091224490052,0.07605288222703027,0.5145690794785885,0.1326893445452246,0.8691187760406728,0.000268606564553304,0.015146040179877546,0.05795834903351264,0.002794283263042476,0.8520714995195224,0.05005434143521558,0.00029541499706707303,0.5278757446723982,0.7347465152592229,0.025702492678928504,0.00343934366570609,0.1418367141845944,0.8745233574348179,0.30256070618916353,0.011925333546561575,0.0647735159519986,0.3677080451245359,0.025453180129710345,0.6774953350460446,0.00012138891133649554,0.0006425601887762705,0.034619436723137775,0.17699988005083842,0.22657099891410537,0.028027105362775032,0.0008823100437544334,0.4225893254737886,0.06969094728011109,0.006161197493225985
1,0.3655352318841507,0.9179281482451115,0.06847336578751163,0.15165845183400362,0.012563225164990836,0.10029613480696264,0.0002378136002765,0.005181467186615302,0.004192232190909718,0.0010606265850645227,,0.09000455854008248,,0.14657585166741613,0.012147737591879117,0.3840994457962754,0.5527648109116371,0.9443424348099851,0.7466238667116664,0.7906494625233003,0.0002738975623117261,,0.0023428781380201227,5.8535733328791545e-05,0.00013706766230345228,0.16674367527705905,0.4100437691879821,0.7721103939960703,0.00012219439583662853,0.3938443227235014,0.8558563847077554,0.65329266714251,0.12118415572342617,0.3107951540664276,0.0331575420583429,0.5835232822781911,0.5982878794790712,0.805238494207005,0.15030102652081614,0.09603854177427586,0.010825754382185342,0.5504705695921691,0.9923209137433237,0.17821085311768908,0.4271660705903083,0.68988359773006,0.008822988560969082,0.040667359416006146,,,0.10312942727003752,0.6396176673242954,5.533728072599445e-05,0.026758814526138687,0.13833462545174274,0.21878823679685908,0.9379176905763286,0.8424819640187478,0.8173537823855118,0.15394040638088474,0.42044734039031156,0.06761288346815564,0.9948402153355189,0.44307545694573963,0.35652768358735354,0.29115317229420185,0.8870716484892895,0.7642925657884364,0.1481223667265215,0.7625843442989755,0.09508485322925565,0.5766531554274034,0.18932020778126712,0.20034840245804936,0.07673552314461143,0.5146041974191629,0.42194881370308396,0.9391746167744042,0.00018993352326692004,0.014406335672211808,0.04414140638127501,0.0019548714079078945,0.8376522531227013,0.049764038567934266,0.0004193587168756977,0.5306375579042143,0.7359056176980864,0.021770648103007193,0.003917121382295335,0.1421719220254614,0.8750541613944348,0.30253014726673494,0.00886068769405912,0.06471522043956379,0.08216003932645678,0.8792582647799188,0.6093117886868926,9.445690037712068e-05,0.0012309883753987738,0.03529105940125456,,0.22644358085169958,0.028019899876928427,0.0008823100437544334,0.7433967370316144,0.07347681109440052,0.004679911457634003
2,,0.923343069376512,0.06848699412369019,0.15129840613108242,0.5531017675652627,0.3113705716896727,0.00013049944779136468,0.00030485174431334417,0.00014243632168377366,0.0021853093799412775,,0.08964926786180587,,0.14663289510098523,,0.3838739378064345,0.5525476522730366,,,0.7906648101864979,0.00027647221454240803,,0.002232973863354864,4.640781971855405e-05,0.0011892846507279564,,0.4566786901284838,,0.0033744671114679737,0.39383547223974436,0.8559010634103895,0.6533110633680244,0.1212751957210468,,0.03310690108960095,0.5835600356106252,0.5981959500784721,,0.14907221252642897,0.09624228218929794,0.010825754382185342,0.4088110959011641,,0.17801043813617937,,0.690671821617448,0.0190556058151678,0.7420478641449743,,,,0.6396176673242954,0.00013788349523310045,0.026758814526138687,0.858658822178601,0.21871084055337875,0.9380084712739549,0.8364810418910106,0.8167408178357732,0.1519675478827911,0.4049697811700651,0.02800976300006425,0.9945239860627593,,0.3548126186504977,0.9452997657875472,0.6028563702340752,0.764441687621739,0.5098335793527824,0.4522308770574442,0.09502788611928742,0.5808385986078962,0.17297816440207361,,0.076040025873337,0.11703029563234113,0.8358970580902791,0.9390575913839602,0.16218084103353866,,0.1690618726352487,0.0021794372629116493,0.8443910420069333,0.0019320898172646439,0.0005610882133318996,0.5317643427904363,0.7349928561937055,0.006333128327833796,0.0026884242086567985,0.14151079254871016,0.8749429745403638,0.3026350293141838,0.00840773770299475,0.0647735159519986,0.077705682916471,0.29543956492677254,0.6236549137021379,7.918263651793247e-05,0.001445128961303259,0.009210836803071228,,0.22649069307442382,,0.6392009809571815,0.5001335625659945,0.07035973105381925,0.005031213011984807
3,,0.923343069376512,0.06850546653331058,0.15144943116663717,0.5530498487622141,0.30478589344751206,7.173874189864671e-05,0.0011896442590445847,0.0001484655237690196,0.0020738100724554524,,0.08983480526271723,,0.14661557377782872,,0.38400598673736924,0.5527108791230333,,,0.7906574829590862,0.0006124535682004263,,0.0007318632561563424,0.0,0.00026388994643291756,,0.410076377990742,,0.003684555561224616,0.39383547223974436,0.8552851424634184,0.6533319821979563,0.12122753061666137,,0.033158557063708786,0.5835869328825988,0.518777489115606,,0.15030102652081614,0.09181532419294357,0.010825754382185342,0.40648355874961206,,0.17821085311768908,,0.6901606475273738,0.01897628044687996,0.741681726161494,,,,0.6396733135263827,5.533728072599445e-05,,0.8573026283563341,0.21872329887721678,0.9380835183679308,0.6656331256569414,0.8175655667929649,0.15394040638088474,0.3458017029564931,0.2321389870970107,0.995365331471562,,0.35652768358735354,0.14301938436796796,0.4924476036999964,0.7271755662307581,0.9800060381032107,0.45218853142538806,0.09503400748035547,0.8063023800385969,,,0.07672051428966334,0.11703029563234113,0.1301496578462279,0.8689641624345676,0.15693801643525393,,0.170245708785971,0.002794283263042476,0.8489454107344084,0.0020688429854379057,0.00025379301436791966,0.778839056986046,0.7369158059884799,0.010761223620663327,0.00626132589399005,0.1419259819246797,0.8744629059150025,0.30235209447855677,0.009491766894940913,0.06481079929294403,0.3536534633512006,,0.6643282025650873,0.00019348250525117141,0.000480948290697905,0.009177372089623341,,0.22646585966217178,,0.6379726013142808,,,0.005031213011984807
4,,0.9178822500496322,0.06710294766723032,0.752931088611962,0.5530977073127545,0.310296497594698,0.0004975729113621539,0.0016625894308973641,0.0006525003136433079,0.0058093703018339,,0.2854556708853008,,0.09636324127853617,,0.3840078210164562,0.8370828791508668,,,0.17453075480633679,0.0,,0.0023891591868387663,0.014168736123752898,0.0008037912413120984,,0.4100831975576871,,4.731383912956469e-05,0.20238842492178272,0.17491481632769615,0.6533205344697038,,,0.03311139414408311,0.4149214426468901,0.5185801762298466,,,0.0025143666327753686,,0.33264896491809975,,,,0.6900488064224247,0.007427726342782234,0.14510178351513622,,,,0.03276161234531726,8.492569002125978e-05,,0.8589606964649753,0.15337361068785624,,0.6688954417309488,0.8171174966498875,,0.37918891501770946,0.02923083525028546,0.9949685411610779,,,0.29115317229420185,0.8870716484892895,0.543960854576318,0.4761650319745207,0.45218853142538806,0.6388330330147328,0.746439668124048,,,0.0003769317753486204,0.0002733534264521378,0.13579733508721986,,0.16797420992199102,,0.16930148206494947,0.0019548714079078945,0.8083584714845575,0.02790091742981169,0.0007449533736002427,0.8267166202471483,0.6856349061001328,0.5125016085486848,0.006225566135228922,,,0.3368225578643696,0.0016634004210285625,0.7207004399182766,,,0.5892841494388568,0.0004974952563582728,0.005642391354720275,0.2925090740280235,,0.22653824150651444,,0.0007458248619488886,,,0.0036102055198323868
5,,0.9179281482451115,0.06718142506610718,0.7527905536535919,0.5530776270407926,0.30471280565014025,0.00039312113750043315,0.0027170598092079706,0.00012261960739076564,0.0031228701294212847,,,,0.09629714806202738,,0.38412264720817124,0.8372963792292145,,,0.17453075480633679,0.00040338846308991117,,0.00011033873873743562,0.011379572330631757,0.0005144628525884631,,0.4566786901284838,,4.731383912956469e-05,0.20238842492178272,0.17472993973857048,0.6532932893314684,,,0.0331575420583429,0.4150783364216048,0.5185696042285322,,,0.00218658344506081,,0.33256665515879164,,,,0.6900615365359751,0.007427726342782234,0.14498160662956125,,,,0.03270149290500047,0.00013788349523310045,,0.8571075107434932,0.21872329887721678,,0.6695640483849848,0.8173537823855118,,0.39653663503606407,0.7606939346898887,0.9948396624845894,,,0.9452997657875472,0.6028563702340752,0.35321464425145965,0.9098033441723508,0.45222659346177946,0.6388476210175406,0.7565118976581993,,,0.0,0.4222538764433717,0.40284934273175566,,0.16798438833813845,,0.8630028215563124,0.0021794372629116493,0.8107733206544256,0.02036539046371159,0.00036825571771581923,0.8244723243157338,0.6823805886231519,0.4621984868956657,0.008338102587234353,,,0.3369322283525679,0.0015828071452590193,0.7202072708652788,,,0.6696084494663355,8.578653007343474e-05,0.005702638667819602,0.2918281780666374,,0.2263406475865891,,0.0011696211212823666,,,0.0036663777966767317
6,,0.923343069376512,0.06715110325653391,0.7528115057644418,0.3829366790523561,0.21920849212518348,,0.0031623004987004367,,0.0010432160138050242,,,,0.09636324127853617,,,0.8371650910182276,,,,0.0,,0.0004429342547361588,0.0141914668434299,0.00015331285413095494,,0.4100437691879821,,,0.004051923656779599,0.17521650807888892,0.65329266714251,,,0.03310690108960095,0.4150653433760696,0.5981584782606428,,,0.3555932222181414,,0.317995917800183,,,,0.6910296817284183,0.025990177995351894,0.14232331559290368,,,,0.0,,,0.43910504538268225,0.2187188643955936,,0.0182553828926074,0.8167408178357732,,0.4049697811700651,0.5487015228352732,0.9944917711506642,,,,,0.9130717504151407,0.612672430069099,0.6070436055195751,0.46479646250307305,0.0015564087050173416,,,0.0003769317753486204,0.4222957437769737,0.11709070559673362,,0.37485181084518854,,0.8837662569778431,,0.8074773151087293,0.05005434143521558,0.00029541499706707303,0.7781893372946727,0.685815450170046,0.4619797529103098,8.411843876180468e-05,,,0.33702430215834084,0.0010545216076701359,0.7203335559422968,,,0.6642430885300995,0.00019938735526547923,0.0006252883849651272,0.30856306102056125,,0.45260546234424764,,6.929268834003276e-05,,,
7,,0.923343069376512,0.06719827093565654,0.7527432218665296,0.3833219942794543,0.2424474560614297,,0.005181467186615302,,0.0010606265850645227,,,,0.09623643339332023,,,0.8371592047151084,,,,0.0008067769261798223,,0.0009364676422361109,0.011400316289444592,0.00013706766230345228,,0.4566800629296858,,,0.004051923656779599,0.17506646388552902,0.6533472599975093,,,0.033158557063708786,0.4149459421766885,0.5981403325417922,,,0.3478567051659176,,0.3179284166333946,,,,0.68988359773006,0.02588338961852098,0.14451913313930942,,,,0.0,,,0.4388774193010645,0.2187188643955936,,0.01944160387090667,0.8175655667929649,,0.3458017029564931,,0.9953961326327329,,,,,0.9131615910922958,0.6918851604802535,0.4667105705158296,0.6117042981840903,0.0009782316562360583,,,0.0003769317753486204,0.47554218064886344,0.8160384445922456,,0.3713875231554354,,0.8563664403551133,,0.811220358353213,0.049764038567934266,0.0004193587168756977,0.3274296470975495,0.6813187052944972,0.8529264748730919,0.799453732825691,,,0.33689338718736855,0.002406019665407724,0.7202217728113641,,,0.6236434350248092,3.2145133343917267e-06,0.002432071660642483,0.30812512117919694,,0.45234961938612417,,6.929268834003276e-05,,,
8,,,7.253029054113997e-05,0.9245242100852117,0.3829603148529236,0.23590872442298416,,0.00030485174431334417,,0.0021853093799412775,,,,0.2437393377474142,,,,,,,,,0.5170679622073666,0.0,,,,,,,0.060723958157109695,0.29046801255657206,,,0.8502661919200537,0.4149088367306677,0.8533149487587618,,,0.33959687727804777,,0.5744160909581547,,,,0.690671821617448,0.041043331145537085,0.3807214077559037,,,,0.0005313384148408207,,,0.2909978377697832,0.15257077215823098,,0.024105612602030063,,,0.37918891501770946,,,,,,,0.9129851996939263,0.6918075052902581,0.7588825273394687,0.6116612005105766,0.0013787526030473978,,,0.0003769317753486204,0.47552488614742056,0.02853827229213292,,0.3744162646785878,,0.8207805696907968,,0.18582623368583523,0.0019320898172646439,0.0005610882133318996,0.3049847802208307,0.726605323306548,0.8591298143789083,0.00016825103053761824,,,0.31266010165698943,,0.4089352044696279,,,0.6696823181804975,0.830267646008522,0.010459768424973957,0.578766287941877,,0.4524447549436871,,0.6598824194824907,,,
9,,,8.061975959443753e-05,0.9248047983271688,0.38321053405359073,0.02103859964436866,,0.0011896442590445847,,0.0020738100724554524,,,,0.24387226932355394,,,,,,,,,0.5170119703089191,5.8535733328791545e-05,,,,,,,0.19435726938525624,0.40897332699160327,,,0.7280448748857798,0.41508951770575137,0.840704023869926,,,0.35380881808470466,,0.5742811136721266,,,,0.6901606475273738,0.04097085694433141,0.3807506064254693,,,,0.0005313384148408207,,,0.2908529318865941,0.2185281501339427,,0.024830753283564336,,,0.39653663503606407,,,,,,,0.5466748319424554,0.7798688418715698,0.7701226239351631,0.6117747001272295,0.002584740497310093,,,0.0003769317753486204,0.21665536317976702,0.02869999952502037,,0.3723997534778889,,0.8159638534655647,,0.16677502406879877,0.0020688429854379057,0.00025379301436791966,0.3052718274016533,0.725327324614744,0.008108303533475573,0.7992220475047588,,,0.3129319697733729,,0.4089352044696279,,,0.5892585774940097,0.259672773050423,0.01292813450128953,0.5786611531207783,,0.45243879362990985,,0.6084014457012284,,,
