,"['Al0+', 'Al0+', 'Al0+', 'Al0+', 'U0+', 'U0+']","['Al0+', 'Al0+', 'Np0+', 'Np0+', 'Np0+', 'Np0+']","['Al0+', 'Al0+', 'Pu0+', 'Pu0+', 'Pu0+', 'Pu0+']","['Al0+', 'Al0+', 'Sm0+', 'Sm0+', 'Sm0+', 'Sm0+']","['Al0+', 'Al0+', 'Tb0+', 'Tb0+', 'Tb0+', 'Tb0+']","['C3.2-', 'C3.2-', 'C3.2-', 'C3.2-', 'C3.2-', 'C3.2-']","['Ca0+', 'Ca0+', 'Ca0+', 'Si0+', 'Si0+', 'Si0+']","['Cl-', 'Cl-', 'Cl-', 'Cl-', 'Cl-', 'Cl-']","['Cl-', 'Cl-', 'N3-', 'N3-', 'N3-', 'N3-']","['Cl-', 'Cl-', 'O2-', 'O2-', 'O2-', 'O2-']","['Cl-', 'N3-', 'N3-', 'N3-', 'N3-', 'N3-']","['Co0+', 'Co0+', 'Co0+', 'Co0+', 'Co0+', 'Co0+']","['Cu0+', 'Cu0+', 'Cu0+', 'Cu0+', 'Cu0+', 'Cu0+']","['Cu0+', 'Cu0+', 'Ir0+', 'Ir0+', 'Ir0+', 'Ir0+']","['Dy0+', 'Dy0+', 'Dy0+', 'Dy0+', 'Si0+', 'Si0+']","['Er0+', 'Er0+', 'Er0+', 'Er0+', 'Si0+', 'Si0+']","['F-', 'F-', 'F-', 'F-', 'F-', 'F-']","['F-', 'F-', 'F-', 'F-', 'F-', 'H+']","['F-', 'F-', 'F-', 'F-', 'F-', 'O2-']","['F-', 'F-', 'F-', 'F-', 'O2-', 'O2-']","['F-', 'F-', 'F-', 'O2-', 'O2-', 'O2-']","['F-', 'F-', 'O2-', 'O2-', 'O2-', 'O2-']","['F-', 'O2-', 'O2-', 'O2-', 'O2-', 'O2-']","['F0+', 'F0+', 'F0+', 'F0+', 'F0+', 'F0+']","['F0+', 'F0+', 'F0+', 'O0+', 'O0+', 'O0+']","['Ge0+', 'Ge0+', 'Ge0+', 'Ge0+', 'Ge0+', 'Ge0+']","['H+', 'O2-', 'O2-', 'O2-', 'O2-', 'O2-']","['H-', 'H-', 'H-', 'H-', 'H-', 'H-']","['H0+', 'H0+', 'H0+', 'H0+', 'H0+', 'H0+']","['H0.5+', 'H0.5+', 'H0.5+', 'H0.5+', 'H0.5+', 'H0.5+']","['Hf0+', 'Hf0+', 'Hf0+', 'Rh0+', 'Rh0+', 'Rh0+']","['Hf0+', 'Hf0+', 'Ni0+', 'Ni0+', 'Ni0+', 'Ni0+']","['Ho0+', 'Ho0+', 'Ho0+', 'Ho0+', 'Si0+', 'Si0+']","['Li0+', 'Li0+', 'Y0+', 'Y0+', 'Y0+', 'Y0+']","['N3-', 'N3-', 'N3-', 'N3-', 'N3-', 'N3-']","['N3-', 'N3-', 'O2-', 'O2-', 'O2-', 'O2-']","['N3-', 'O2-', 'O2-', 'O2-', 'O2-', 'O2-']","['Nb0+', 'Nb0+', 'Nb0+', 'Nb0+', 'Nb0+', 'Nb0+']","['Nd0+', 'Nd0+', 'Nd0+', 'Nd0+', 'Nd0+', 'Nd0+']","['Ni0+', 'Ni0+', 'Ni0+', 'Ni0+', 'Ni0+', 'Ni0+']","['Ni0+', 'Ni0+', 'Ni0+', 'Ni0+', 'Zr0+', 'Zr0+']","['O0+', 'O0+', 'O0+', 'O0+', 'O0+', 'O0+']","['O2-', 'O2-', 'O2-', 'O2-', 'O2-', 'O2-']","['Pd0+', 'Pd0+', 'Pd0+', 'Pd0+', 'Pd0+', 'Pd0+']","['Pd0+', 'Pd0+', 'Pd0+', 'Pd0+', 'Si0+', 'Si0+']","['Pr0+', 'Pr0+', 'Pr0+', 'Pr0+', 'Pr0+', 'Pr0+']","['Pt0+', 'Pt0+', 'Pt0+', 'Pt0+', 'Pt0+', 'Pt0+']","['Rh0+', 'Rh0+', 'Rh0+', 'Rh0+', 'Rh0+', 'Rh0+']","['Ru0+', 'Ru0+', 'Ru0+', 'Ru0+', 'Ru0+', 'Ru0+']","['S2-', 'S2-', 'S2-', 'S2-', 'S2-', 'S2-']","['Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+']","['Se1.75-', 'Se1.75-', 'Se1.75-', 'Se1.75-', 'Se1.75-', 'Se1.75-']","['Se2-', 'Se2-', 'Se2-', 'Se2-', 'Se2-', 'Se2-']","['Si0+', 'Si0+', 'Tb0+', 'Tb0+', 'Tb0+', 'Tb0+']","['Si0+', 'Si0+', 'Tm0+', 'Tm0+', 'Tm0+', 'Tm0+']","['Si0+', 'Si0+', 'Y0+', 'Y0+', 'Y0+', 'Y0+']","['Sm0+', 'Sm0+', 'Sm0+', 'Sm0+', 'Sm0+', 'Sm0+']","['Sn0+', 'Sn0+', 'Sn0+', 'Sn0+', 'Sn0+', 'Sn0+']","['Ta0+', 'Ta0+', 'Ta0+', 'Ta0+', 'Ta0+', 'Ta0+']","['Tb0+', 'Tb0+', 'Tb0+', 'Tb0+', 'Tb0+', 'Tb0+']","['Tc0+', 'Tc0+', 'Tc0+', 'Tc0+', 'Tc0+', 'Tc0+']","['Te-', 'Te-', 'Te-', 'Te-', 'Te-', 'Te-']","['Ti0+', 'Ti0+', 'Ti0+', 'Ti0+', 'Ti0+', 'Ti0+']","['Tm0+', 'Tm0+', 'Tm0+', 'Tm0+', 'Tm0+', 'Tm0+']","['W0+', 'W0+', 'W0+', 'W0+', 'W0+', 'W0+']","['Zr0+', 'Zr0+', 'Zr0+', 'Zr0+', 'Zr0+', 'Zr0+']"
0,565.183,96.39029366666682,628.4524676666666,133.4549956666666,369.6379189999997,329.4638846666666,246.64525966666665,160.46558033333335,230.96760000000006,229.32665700000007,227.2905936666667,605.5900156666667,308.62462533333337,539.801417,1315.3227029999998,842.4823786666669,210.8581393333333,226.44185633333336,216.41030900000007,209.83144000000001,225.21904399999997,215.3095186666666,209.59570566666653,212.75095133333335,230.80789866666672,363.7251530000001,256.53944566666667,141.075244,192.4711040000001,333.2402203333333,935.1504316666669,388.5163546666666,1259.4315276666664,948.2591060000001,200.39629033333335,242.089142,212.622507,377.2566903333333,-1024.6099266666663,-4786.478742,396.8350026666667,222.35753600000007,217.0599093333332,-1742.3418596666681,188.28919900000005,-1801.5757139999998,377.30537,530.112298333333,1094.0384246666665,219.25274433333325,714.0920396666664,198.3939386666666,240.17152133333323,4693.094094999999,538.6387480000002,160.03228533333368,861.4726603333335,-113.18797799999977,735.0646290000001,-706.0705776666667,386.1901786666669,251.15486866666666,726.9428300000001,443.24473733333326,649.2910320000002,616.6540426666667
1,541.7040129999999,540.0285746666667,473.9646719999999,290.59683466666655,374.26927700000005,329.9889116666665,262.630349,161.71260533333336,230.96040899999994,229.32389900000013,227.28155533333344,,311.744961,538.1652856666667,,,210.864414,226.38757599999994,216.3889333333334,215.94761133333327,225.21705233333333,215.30746033333332,209.83650599999999,216.52507166666672,,374.8378090000003,256.60010000000005,172.48409333333336,65.06976199999995,333.2304830000001,572.1288466666667,385.50176200000004,,,200.39629033333335,239.2381866666667,212.622507,423.63049200000006,,-5061.200266000003,394.4896766666664,214.08420633333336,217.03742766666662,4838.815412333331,222.11006566666683,-1801.5765823333338,377.0809916666667,613.4018353333332,1094.0381326666668,219.28156233333334,730.9507966666665,219.14713033333337,224.47000733333334,4689.698730333331,,,860.4071499999997,,305.72930733333345,-706.0741063333335,,251.1572753333334,726.454012,,565.6256373333332,601.9489196666664
2,592.7253059999997,,,133.42948100000004,,189.2132133333333,,234.78159133333338,230.96401000000006,,227.29319633333338,,222.52595899999997,539.8013673333334,,,210.8627643333333,,216.39277933333332,215.96181833333333,,215.30295866666668,206.50060133333326,,,,256.5390376666667,172.48960266666668,,333.23131900000016,1061.9701666666663,391.7283243333333,,,200.39629033333335,238.65243700000008,222.4022723333334,492.4238873333332,,-4936.936406000002,396.8479340000001,247.53110499999994,217.0573596666666,-1741.9619403333327,860.3768109999993,,,,,219.27409133333336,,190.56205500000002,220.01250366666667,,,,,,395.8401173333332,,,,960.853995,,,1711.621836666666
3,504.05675633333317,,,290.7044633333332,,188.19370933333343,,234.78016166666657,230.969788,,227.27960400000003,,241.2618973333333,538.165321333333,,,210.85412799999995,,216.39004366666663,215.96769200000003,,215.306686,206.56876666666668,,,,256.7682436666667,221.41419366666665,,333.23476799999986,806.9113213333336,393.2366246666667,,,200.39629033333335,238.67256433333333,222.42809466666674,492.6108039999999,,-5299.866611000001,393.9813426666667,231.3303890000001,217.05686733333332,4839.406291666664,-441.6156196666664,,,,,219.26488866666668,,231.64537500000006,221.44606366666667,,,,,,308.26876966666674,,,,978.654654333333,,,1705.8266350000006
4,,,,,,331.79022933333334,,,,,,,226.97794933333333,,,,210.7330503333334,,212.8445443333333,215.95330900000008,,215.304988,210.52528400000003,,,,,186.91888533333335,,,729.5830723333333,,,,,238.67522499999995,223.4443723333333,,,4133.990864666667,,247.673735,217.04960399999993,-2379.098919333331,190.01301866666662,,,,,223.60452166666664,,194.47646100000006,228.28621233333328,,,,,,395.65475066666664,,,,,,,1171.757416666667
5,,,,,,332.13554099999976,,,,,,,217.29318233333342,,,,210.73952599999998,,212.84142366666666,212.59989299999998,,215.3084043333334,210.53457600000002,,,,,192.6419473333333,,,692.0331670000002,,,,,238.6517373333334,207.30523400000004,,,8057.982783666669,,240.2482856666666,217.070071,,223.8833103333333,,,,,223.60452166666664,,198.32903533333322,230.570476,,,,,,308.24660433333344,,,,,,,1198.1449339999997
6,,,,,,,,,,,,,241.51656833333337,,,,210.73370033333333,,212.8426619999999,212.59594533333328,,215.30513900000003,210.52704833333328,,,,,232.5900573333333,,,711.8730633333334,,,,,,235.96231266666678,,,4639.573095666664,,1092.0458540000006,220.97514733333324,,861.8216373333339,,,,,223.6024976666666,,218.324645,238.35275866666655,,,,,,735.0881473333333,,,,,,,903.375931
7,,,,,,,,,,,,,225.33429266666664,,,,210.73205499999992,,212.847347,213.09232333333338,,215.30845166666663,210.5317796666666,,,,,186.91888533333335,,,1069.8814139999997,,,,,,233.3411343333332,,,8683.305982666665,,229.31491899999995,220.95773999999992,,-446.21124400000014,,,,,219.25274433333325,,189.41193366666664,223.74319199999982,,,,,,305.7468686666666,,,,,,,956.2314726666667
8,,,,,,,,,,,,,220.73384733333333,,,,210.72317466666664,,214.05079500000008,213.08825133333335,,211.18062133333333,207.07680733333345,,,,,192.6419473333333,,,,,,,,,234.73122433333324,,,-1700.5536756666659,,208.65800700000008,223.19001699999998,,,,,,,219.28156233333334,,215.84183699999994,219.37947466666665,,,,,,454.00398866666654,,,,,,,948.6072159999994
9,,,,,,,,,,,,,221.84794800000017,,,,210.71990966666658,,214.04571033333323,207.68653899999995,,210.7763113333333,205.740308,,,,,195.7411103333333,,,,,,,,,237.00700666666657,,,-1598.303676333333,,208.35608800000003,223.13738599999996,,,,,,,219.27409133333336,,202.76004833333334,227.52615733333334,,,,,,460.11429566666646,,,,,,,1037.0496353333333
