,"['Al0+', 'Co0+', 'Co0+', 'Th0+', 'Th0+', 'Th0+', 'Th0+']","['H0.64285714+', 'H0.64285714+', 'H0.64285714+', 'H0.64285714+', 'H0.64285714+', 'H0.64285714+', 'N3-']","['O2-', 'O2-', 'O2-', 'O2-', 'O2-', 'O2-', 'O2-']","['Pt0+', 'Pt0+', 'Pt0+', 'Pt0+', 'Pt0+', 'Pt0+', 'Pt0+']"
0,79.1638136648395,-40.94691108060624,36.72384342912051,94.01668717844342
1,169.1631463249537,-40.94754597619087,-33.89143002645267,88.5503820731405
2,,-40.94788114064693,39.79706270468583,91.43848655348634
3,,-40.946659488766386,39.95749320550314,88.60088782825119
4,,-42.633633425663874,65.8422024198756,94.01700479733336
5,,-42.63685784136601,-40.08930691690111,88.55084850477692
6,,-42.64121970110955,192.2353308132042,91.43415036759396
7,,-42.63714553701993,-167.73481264661962,88.6107217766214
8,,,-155.74665279835534,
9,,,175.97267366911586,
10,,,-230.86809802895618,
11,,,-201.02319778781268,
12,,,33.27569943478423,
13,,,11.222296918938326,
14,,,12.901716111910304,
15,,,30.198727133446226,
16,,,-32.93012208974477,
17,,,29.69485459607597,
