,"['Al0+', 'Co0+', 'Co0+', 'Th0+', 'Th0+', 'Th0+', 'Th0+']","['H0.64285714+', 'H0.64285714+', 'H0.64285714+', 'H0.64285714+', 'H0.64285714+', 'H0.64285714+', 'N3-']","['O2-', 'O2-', 'O2-', 'O2-', 'O2-', 'O2-', 'O2-']","['Pt0+', 'Pt0+', 'Pt0+', 'Pt0+', 'Pt0+', 'Pt0+', 'Pt0+']"
0,523.1593313333334,275.1609333333334,235.35514233333345,258.5998726666667
1,517.2055513333335,275.1619303333334,216.46093366666665,270.8446336666667
2,,275.161219,213.07111533333327,248.89342600000006
3,,275.1628723333334,239.83343799999997,251.79938833333335
4,,282.8309413333332,271.34176833333345,258.60047966666673
5,,282.8316516666666,222.66061633333342,270.84585533333313
6,,282.82798566666685,376.3068176666666,248.9007623333333
7,,282.831976,81.147709,251.80684700000006
8,,,82.62749766666674,
9,,,375.1823113333334,
10,,,450.57820766666697,
11,,,41.23722833333331,
12,,,229.65877700000001,
13,,,215.85575100000008,
14,,,220.07692566666663,
15,,,223.47652933333333,
16,,,252.17547833333333,
17,,,240.86969833333342,
