,"['Ag0+', 'Ag0+', 'Ag0+', 'Ag0+', 'Ag0+', 'Ag0+', 'La0+', 'La0+', 'La0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Ba0+', 'Ba0+', 'Ba0+', 'Ba0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Ca0+', 'Ca0+', 'Ca0+', 'Ca0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Ca0+', 'Ca0+', 'Co0+', 'Co0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Ce0+', 'Ce0+', 'Ce0+', 'Ce0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Ce0+', 'Ce0+', 'Fe0+', 'Fe0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Co0+', 'Co0+', 'Nd0+', 'Nd0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Co0+', 'Co0+', 'Pr0+', 'Pr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'La0+', 'La0+', 'La0+', 'La0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Mn0+', 'Mn0+', 'Mn0+', 'Mn0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Nd0+', 'Nd0+', 'Nd0+', 'Nd0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Pr0+', 'Pr0+', 'Pr0+', 'Pr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Al0+', 'Sr0+', 'Sr0+', 'Sr0+', 'Sr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Ba0+', 'Ba0+', 'Ba0+', 'Ba0+', 'Ba0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Cu0+', 'La0+', 'La0+', 'La0+', 'La0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Cu0+', 'Pr0+', 'Pr0+', 'Pr0+', 'Pr0+']","['Al0+', 'Al0+', 'Al0+', 'Al0+', 'Fe0+', 'Si0+', 'Si0+', 'Si0+', 'Si0+']","['Al0+', 'Al0+', 'Al0+', 'Fe0+', 'Fe0+', 'Si0+', 'Si0+', 'Si0+', 'Si0+']","['Al0+', 'Al0+', 'Al0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+']","['Al0+', 'Al0+', 'Al0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Si0+', 'Si0+', 'Si0+']","['Al0+', 'Al0+', 'Al0+', 'Sr0+', 'Sr0+', 'Sr0+', 'Sr0+', 'Sr0+', 'Sr0+']","['Al0+', 'Al0+', 'Al0+', 'Th0+', 'Th0+', 'Th0+', 'Th0+', 'Th0+', 'Th0+']","['Al0+', 'Al0+', 'Eu0+', 'Eu0+', 'Eu0+', 'Eu0+', 'Eu0+', 'Eu0+', 'Eu0+']","['Al0+', 'Al0+', 'Hf0+', 'Hf0+', 'Hf0+', 'Hf0+', 'Hf0+', 'Hf0+', 'Hf0+']","['Al0+', 'Al0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+']","['Al0+', 'Al0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+', 'Sc0+']","['Al0+', 'Al0+', 'Th0+', 'Th0+', 'Th0+', 'Th0+', 'Th0+', 'Th0+', 'Th0+']","['Al0+', 'Al0+', 'Y0+', 'Y0+', 'Y0+', 'Y0+', 'Y0+', 'Y0+', 'Y0+']","['Al0+', 'Al0+', 'Zr0+', 'Zr0+', 'Zr0+', 'Zr0+', 'Zr0+', 'Zr0+', 'Zr0+']","['Al0+', 'Ba0+', 'Ba0+', 'Ba0+', 'Ba0+', 'Ba0+', 'Ba0+', 'Ge0+', 'Ge0+']","['Al0+', 'Ba0+', 'Ba0+', 'Ba0+', 'Ba0+', 'Ba0+', 'Ba0+', 'Si0+', 'Si0+']","['Al0+', 'Ba0+', 'Ba0+', 'Ba0+', 'Ba0+', 'Ba0+', 'Ba0+', 'Sn0+', 'Sn0+']","['Al0+', 'Ca0+', 'Ca0+', 'Ca0+', 'Ca0+', 'Ca0+', 'Ca0+', 'Ge0+', 'Ge0+']","['Al0+', 'Ca0+', 'Ca0+', 'Ca0+', 'Ca0+', 'Ca0+', 'Ca0+', 'Si0+', 'Si0+']","['Al0+', 'Ge0+', 'Ge0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+']","['Al0+', 'Ge0+', 'Ge0+', 'Sr0+', 'Sr0+', 'Sr0+', 'Sr0+', 'Sr0+', 'Sr0+']","['Al0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+', 'La0+']","['Al0+', 'Si0+', 'Si0+', 'Sr0+', 'Sr0+', 'Sr0+', 'Sr0+', 'Sr0+', 'Sr0+']","['Al0+', 'Sn0+', 'Sn0+', 'Sr0+', 'Sr0+', 'Sr0+', 'Sr0+', 'Sr0+', 'Sr0+']","['B0+', 'Ru0+', 'Ru0+', 'Ru0+', 'Ru0+', 'Ru0+', 'Ru0+', 'Ru0+', 'Ru0+']","['Ba0+', 'Ba0+', 'Ba0+', 'Ba0+', 'Ba0+', 'Ge0+', 'Ge0+', 'Ge0+', 'Ge0+']","['Ca0+', 'Ca0+', 'Ca0+', 'Ca0+', 'Ca0+', 'Ca0+', 'Si0+', 'Si0+', 'Si0+']","['Ca0+', 'Ca0+', 'Ca0+', 'Ca0+', 'Ca0+', 'Ge0+', 'Ge0+', 'Ge0+', 'Ge0+']","['Ce0+', 'Ce0+', 'Ce0+', 'Ce0+', 'Ce0+', 'Ce0+', 'Ir0+', 'Ir0+', 'Ir0+']","['Cu0+', 'Cu0+', 'Cu0+', 'Cu0+', 'Cu0+', 'Cu0+', 'Cu0+', 'Cu0+', 'Cu0+']","['Dy0+', 'Dy0+', 'Dy0+', 'Dy0+', 'Dy0+', 'Dy0+', 'Zn0+', 'Zn0+', 'Zn0+']","['Er0+', 'Er0+', 'Er0+', 'Er0+', 'Er0+', 'Er0+', 'Zn0+', 'Zn0+', 'Zn0+']","['Fe0+', 'Fe0+', 'Fe0+', 'Fe0+', 'Si0+', 'Si0+', 'Si0+', 'Si0+', 'Si0+']","['Ga0+', 'Ga0+', 'Ga0+', 'Yb0+', 'Yb0+', 'Yb0+', 'Yb0+', 'Yb0+', 'Yb0+']","['Ge0+', 'Ge0+', 'Ge0+', 'Ge0+', 'Ge0+', 'Mn0+', 'Mn0+', 'Mn0+', 'Mn0+']","['Ge0+', 'Ge0+', 'Ge0+', 'Ge0+', 'Tb0+', 'Tb0+', 'Tb0+', 'Tb0+', 'Tb0+']","['Hf0+', 'Hf0+', 'Hf0+', 'Hf0+', 'Hf0+', 'Hf0+', 'Hf0+', 'Hf0+', 'Hf0+']","['Hf0+', 'Hf0+', 'Hf0+', 'Pt0+', 'Pt0+', 'Pt0+', 'Pt0+', 'Pt0+', 'Pt0+']","['Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Mg0+', 'Y0+', 'Y0+', 'Y0+']","['Mg0+', 'Mg0+', 'Mg0+', 'Si0+', 'Si0+', 'Si0+', 'Si0+', 'Si0+', 'Si0+']","['Mg0+', 'Mg0+', 'Mg0+', 'Y0+', 'Y0+', 'Y0+', 'Y0+', 'Y0+', 'Y0+']","['Ni0+', 'Ni0+', 'Ni0+', 'Ni0+', 'Ni0+', 'Ni0+', 'Pr0+', 'Pr0+', 'Pr0+']","['Pt0+', 'Pt0+', 'Pt0+', 'Pt0+', 'Pt0+', 'Pt0+', 'Zr0+', 'Zr0+', 'Zr0+']","['Si0+', 'Si0+', 'Si0+', 'Sm0+', 'Sm0+', 'Sm0+', 'Sm0+', 'Sm0+', 'Sm0+']","['Tb0+', 'Tb0+', 'Tb0+', 'Tb0+', 'Tb0+', 'Tb0+', 'Tb0+', 'Tb0+', 'Tb0+']","['Tm0+', 'Tm0+', 'Tm0+', 'Tm0+', 'Tm0+', 'Tm0+', 'Zn0+', 'Zn0+', 'Zn0+']","['Y0+', 'Y0+', 'Y0+', 'Y0+', 'Y0+', 'Y0+', 'Zn0+', 'Zn0+', 'Zn0+']","['Zr0+', 'Zr0+', 'Zr0+', 'Zr0+', 'Zr0+', 'Zr0+', 'Zr0+', 'Zr0+', 'Zr0+']"
0,77.5870143333333,2185.5865290000015,465.6470200000001,238.26335499999982,524.7454573333331,482.28691033333354,355.19025466666653,397.4357216666667,412.90419999999966,481.4802196666669,246.0769133333333,368.7877343333332,218.34046599999996,275.74562499999996,364.8199693333333,-399.54315966666644,-469.13080400000007,103.13353233333332,387.0989326666666,327.8418803333332,321.4699070000002,2340.4751173333334,507.4135559999999,603.0622289999999,621.0169493333334,615.2109506666666,998.3277690000001,423.3868989999999,282.51901533333336,389.8423053333334,524.1589699999996,376.1731523333333,438.2562396666667,441.9349713333332,573.5566379999999,503.1621726666669,450.8153943333332,619.0072136666669,457.8727876666666,565.0932799999999,-194.33082599999977,426.848362,675.1215516666667,517.2487053333334,-1368.817715666669,1193.6045146666668,1263.8870333333334,169.6210893333333,11805.311203333331,-1575.1202026666658,-164.3308033333329,219.3756936666667,-18.738735999999943,568.8010529999998,-901.9815160000002,736.382224,436.1335323333333,-128.67433833333328,666.8707286666667,2908.5642123333328,1398.246722,984.01768,304.25243699999993
1,93.69313833333335,2186.8393630000005,463.546455,233.26081766666664,524.7780066666664,492.35541033333334,554.7792169999999,467.71447933333343,411.43524733333334,480.891915,230.88159499999995,304.4686606666667,217.96316066666668,273.72996700000004,,,-496.74598966666645,290.0451196666667,390.503214,326.4517673333333,321.48792599999996,2340.514955666668,374.9270646666666,594.9449789999999,625.0868600000002,615.7942976666667,988.8786593333333,338.129436,295.45913566666655,395.2642936666668,518.2428853333334,377.66499533333354,439.80934866666666,442.17865200000006,561.3541963333333,501.9807273333333,670.7362713333338,616.3432240000001,461.3612470000001,560.9740986666666,-195.00860166666666,247.89334500000007,675.1204480000002,520.9688393333334,-1979.7205686666668,1433.3681323333333,1735.2015010000002,619.6022326666665,11994.057881999992,-1572.6964366666664,-193.18935066666657,224.2023243333334,-60.67321266666664,,,736.7565406666666,434.54747866666685,-745.9220076666666,668.1788486666666,2915.5292636666636,906.1096440000001,1097.7889619999999,301.53804133333324
2,,,,236.6580066666667,,486.07369399999993,609.1483929999998,238.03536266666688,442.2118266666668,,,,,273.7656043333334,,,-750.0514090000001,90.71012033333334,662.4154293333333,332.7115456666667,901.6258163333338,2340.473873000001,393.68150066666686,,675.6236743333333,615.338423,,423.4232349999999,,,,,,,,,680.6425536666669,617.9486949999998,,,,312.2889966666666,675.0522903333332,,-1791.4664733333295,,,169.58512166666694,,,,660.5770873333332,,,,,,,,2914.7939530000003,,,672.5702623333333
3,,,,237.44453766666663,,467.44956599999995,287.5147953333333,303.2717593333333,439.74337866666673,,,,,275.8912563333333,,,,303.6497139999999,673.6885443333333,331.19958266666646,320.21935866666684,2340.5143813333343,407.78398466666675,,673.7875873333335,615.9302576666666,,338.0699610000001,,,,,,,,,547.9602283333334,617.6817213333335,,,,387.1722290000001,675.2164933333332,,-1680.5397963333314,,,626.1651976666665,,,,665.9331796666669,,,,,,,,2909.6466246666664,,,680.9773793333333
4,,,,,,,,,732.2007226666669,,,,,276.3601119999999,,,,284.533166,675.2520683333333,,901.6203396666668,,,,702.756133333333,,,423.4589673333334,,,,,,,,,489.658487,600.218688,,,,387.17227800000006,,,,,,169.64301666666668,,,,668.8639643333332,,,,,,,,,,,570.208999
5,,,,,,,,,623.0743346666666,,,,,277.8435259999999,,,,325.5279346666667,660.7390543333332,,454.61536866666665,,,,,,,338.0605836666667,,,,,,,,,563.3161006666668,550.334376,,,,387.1722473333334,,,,,,619.5822109999998,,,,655.6863830000003,,,,,,,,,,,575.3663156666668
6,,,,,,,,,145.6027560000002,,,,,771.6177496666666,,,,261.5364456666669,618.9259666666661,,320.25408366666665,,,,,,,,,,,,,,,,579.337304666667,517.1193433333332,,,,,,,,,,169.60509366666662,,,,664.7466623333333,,,,,,,,,,,477.7273260000001
7,,,,,,,,,226.93941500000003,,,,,773.2509323333338,,,,347.90398599999975,606.9403096666668,,321.40264866666666,,,,,,,,,,,,,,,,663.3746666666667,600.2231996666668,,,,,,,,,,626.143885666667,,,,670.8387366666667,,,,,,,,,,,693.2161980000001
8,,,,,,,,,292.0965783333334,,,,,770.930633333333,,,,103.133347,373.3048576666666,,321.457812,,,,,,,,,,,,,,,,,516.9622456666666,,,,,,,,,,,,,,752.9987136666667,,,,,,,,,,,698.1351349999995
9,,,,,,,,,560.508218,,,,,770.8343213333336,,,,290.04534733333327,374.1571896666665,,454.44570066666694,,,,,,,,,,,,,,,,,550.4335659999998,,,,,,,,,,,,,,754.3293163333334,,,,,,,,,,,432.9656086666666
10,,,,,,,,,,,,,,773.289691,,,,90.71047233333327,373.3888133333334,,402.90261533333313,,,,,,,,,,,,,,,,,618.5074966666667,,,,,,,,,,,,,,740.0833203333332,,,,,,,,,,,672.4216996666665
11,,,,,,,,,,,,,,771.6065919999996,,,,303.6493846666665,379.8418976666667,,398.8469319999999,,,,,,,,,,,,,,,,,616.8455643333333,,,,,,,,,,,,,,767.0067316666664,,,,,,,,,,,705.7325206666666
12,,,,,,,,,,,,,,,,,,284.5334403333332,367.2075979999998,,400.29832633333325,,,,,,,,,,,,,,,,,618.2020196666663,,,,,,,,,,,,,,723.7533723333337,,,,,,,,,,,1252.2423843333333
13,,,,,,,,,,,,,,,,,,325.5278070000001,356.21199066666696,,402.227542,,,,,,,,,,,,,,,,,617.1055390000001,,,,,,,,,,,,,,742.9346023333329,,,,,,,,,,,1268.484979
14,,,,,,,,,,,,,,,,,,261.53615633333334,378.04025200000007,,402.1903169999999,,,,,,,,,,,,,,,,,600.2185116666668,,,,,,,,,,,,,,,,,,,,,,,,,1203.822093000001
15,,,,,,,,,,,,,,,,,,347.9043823333332,357.0721193333334,,402.9593379999999,,,,,,,,,,,,,,,,,550.3408669999999,,,,,,,,,,,,,,,,,,,,,,,,,1136.3629500000002
16,,,,,,,,,,,,,,,,,,,527.9349450000001,,402.9854309999999,,,,,,,,,,,,,,,,,517.121111,,,,,,,,,,,,,,,,,,,,,,,,,1240.3722856666657
17,,,,,,,,,,,,,,,,,,,533.6211959999999,,401.80008000000004,,,,,,,,,,,,,,,,,600.2217073333333,,,,,,,,,,,,,,,,,,,,,,,,,1149.1110816666667
18,,,,,,,,,,,,,,,,,,,1282.940323333333,,,,,,,,,,,,,,,,,,,516.9637083333336,,,,,,,,,,,,,,,,,,,,,,,,,555.8324760000006
19,,,,,,,,,,,,,,,,,,,1285.7246786666672,,,,,,,,,,,,,,,,,,,550.4414043333335,,,,,,,,,,,,,,,,,,,,,,,,,592.4837933333337
20,,,,,,,,,,,,,,,,,,,1284.411898666668,,,,,,,,,,,,,,,,,,,421.56765666666666,,,,,,,,,,,,,,,,,,,,,,,,,529.2569856666663
21,,,,,,,,,,,,,,,,,,,1213.5622070000009,,,,,,,,,,,,,,,,,,,421.45673533333337,,,,,,,,,,,,,,,,,,,,,,,,,599.0198163333332
22,,,,,,,,,,,,,,,,,,,1155.7974783333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540.378768
23,,,,,,,,,,,,,,,,,,,1155.1237096666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582.3732129999999
24,,,,,,,,,,,,,,,,,,,1211.2085180000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555.8312273333331
25,,,,,,,,,,,,,,,,,,,1281.6127053333319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592.483923
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529.2579416666664
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599.0186
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540.3782196666665
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582.3740063333339
